geneName,gene_biotype,hgnc_symbol,mean.CPM,min.CPM,max.CPM,express.in.libs
ENSG00000000005,protein_coding,TNMD,0,0,0,0
ENSG00000002745,protein_coding,WNT16,0.027123392824930866,0,0.67711637802324,2
ENSG00000002746,protein_coding,HECW1,0.02587067631794668,0,1.138309757989654,1
ENSG00000003137,protein_coding,CYP26B1,0.03828703401425206,0,1.6846294966270907,1
ENSG00000004776,protein_coding,HSPB6,0.029987263431813713,0,0.5260895709581722,3
ENSG00000004939,protein_coding,SLC4A1,0.07367802718728834,0,1.3001779293496314,4
ENSG00000005073,protein_coding,HOXA11,0,0,0,0
ENSG00000005421,protein_coding,PON1,0,0,0,0
ENSG00000005513,protein_coding,SOX8,0.12140078439872087,0,2.8457743949741348,4
ENSG00000005981,protein_coding,ASB4,0.15309777151111872,0,2.4185718678630534,6
ENSG00000006047,protein_coding,YBX2,0,0,0,0
ENSG00000006059,protein_coding,KRT33A,0,0,0,0
ENSG00000006071,protein_coding,ABCC8,0,0,0,0
ENSG00000006116,protein_coding,CACNG3,0,0,0,0
ENSG00000006128,protein_coding,TAC1,0,0,0,0
ENSG00000006377,protein_coding,DLX6,0,0,0,0
ENSG00000006468,protein_coding,ETV1,0.09201423501123061,0,1.2803441565092697,6
ENSG00000006638,protein_coding,TBXA2R,0.0718780667617908,0,1.2312139831434494,4
ENSG00000006659,protein_coding,LGALS14,0,0,0,0
ENSG00000006788,protein_coding,MYH13,0.015324591083208912,0,0.6742820076611922,1
ENSG00000007001,protein_coding,UPP2,0.02745451985095857,0,0.8022256949681196,2
ENSG00000007216,protein_coding,SLC13A2,0.13513622220917818,0,3.614190343916027,4
ENSG00000007306,protein_coding,CEACAM7,0.23528308836286457,0,5.646575210970166,4
ENSG00000007314,protein_coding,SCN4A,0,0,0,0
ENSG00000007372,protein_coding,PAX6,0,0,0,0
ENSG00000007402,protein_coding,CACNA2D2,0.17170608869430906,0,1.329329393201012,12
ENSG00000007908,protein_coding,SELE,0,0,0,0
ENSG00000008196,protein_coding,TFAP2B,0,0,0,0
