STRING_id,gene,mod,cyto
9606.ENSP00000014914,GPRC5A,1,0
9606.ENSP00000078445,CREB3L3,1,0
9606.ENSP00000164139,PYGM,1,0
9606.ENSP00000176183,DRD4,1,0
9606.ENSP00000209728,CDC6,1,0
9606.ENSP00000209875,CBX5,1,0
9606.ENSP00000215743,MMP11,1,0
9606.ENSP00000216190,EIF3D,1,0
9606.ENSP00000216211,UPK3A,1,0
9606.ENSP00000216639,VRK1,1,0
9606.ENSP00000220809,PLAT,1,0
9606.ENSP00000221980,ICAM5,1,0
9606.ENSP00000222543,TFPI2,1,0
9606.ENSP00000223215,MEST,1,0
9606.ENSP00000225328,P2RX5,1,0
9606.ENSP00000225474,CSF3,0,1
9606.ENSP00000228434,CD69,1,0
9606.ENSP00000228534,IL23A,0,1
9606.ENSP00000234071,PROC,1,0
9606.ENSP00000234111,ODC1,1,0
9606.ENSP00000235382,RGS2,1,0
9606.ENSP00000237380,MED28,1,0
9606.ENSP00000243346,NMI,1,0
9606.ENSP00000246070,LAMP5,1,0
9606.ENSP00000247226,PLEKHG3,1,0
9606.ENSP00000248948,VPREB3,1,0
9606.ENSP00000249075,LIF,1,0
9606.ENSP00000252321,KCNA5,1,0
9606.ENSP00000252590,PLVAP,1,0
9606.ENSP00000253255,PKDREJ,1,0
9606.ENSP00000253458,GSE1,1,0
9606.ENSP00000254695,RAP1GAP2,1,0
9606.ENSP00000255087,MTL5,1,0
9606.ENSP00000256951,EMP1,1,0
9606.ENSP00000258499,USP44,1,0
9606.ENSP00000258739,KDELR2,1,0
9606.ENSP00000259607,CCL21,0,1
9606.ENSP00000259631,CCL27,0,1
9606.ENSP00000260563,RTCA,1,0
9606.ENSP00000260947,BARD1,1,0
9606.ENSP00000261667,KPNA3,1,0
9606.ENSP00000261726,CUX2,1,0
9606.ENSP00000262225,TMED2,1,0
9606.ENSP00000262320,AXIN1,1,0
9606.ENSP00000262428,COTL1,1,0
9606.ENSP00000262811,MAST3,1,0
9606.ENSP00000262865,BPI,1,0
9606.ENSP00000263025,MAPK3,1,0
9606.ENSP00000263238,ACTR3,1,0
9606.ENSP00000263932,TNFRSF8,1,0
9606.ENSP00000263974,TAF12,1,0
9606.ENSP00000264001,CKLF,1,0
9606.ENSP00000264192,CYTIP,1,0
9606.ENSP00000264257,IL1RL2,1,0
9606.ENSP00000264279,NOP58,1,0
9606.ENSP00000264741,ITGA9,1,0
9606.ENSP00000264993,CDV3,1,0
9606.ENSP00000264995,MRPL3,1,0
9606.ENSP00000265073,SUB1,1,0
9606.ENSP00000265723,ABCB4,1,0
9606.ENSP00000265727,ADAM22,1,0
9606.ENSP00000266069,GID8,1,0
9606.ENSP00000266269,PATZ1,1,0
9606.ENSP00000266397,ERP27,1,0
9606.ENSP00000266736,AMDHD1,1,0
9606.ENSP00000266970,CDK2,1,0
9606.ENSP00000267436,L2HGDH,1,0
9606.ENSP00000267460,PELI2,1,0
9606.ENSP00000267549,GPR65,1,0
9606.ENSP00000268717,COPS3,1,0
9606.ENSP00000268835,PRPSAP2,1,0
9606.ENSP00000269141,CDH2,1,0
9606.ENSP00000269856,FEM1A,1,0
9606.ENSP00000270458,CACNG8,1,0
9606.ENSP00000270642,IGLON5,1,0
9606.ENSP00000272937,HES6,1,0
9606.ENSP00000273063,SLC4A3,1,0
9606.ENSP00000273668,EAF2,1,0
9606.ENSP00000274368,CRHBP,1,0
9606.ENSP00000274520,IL9,1,0
9606.ENSP00000274605,N4BP3,1,0
9606.ENSP00000276079,NONO,1,0
9606.ENSP00000277541,NOTCH1,1,0
9606.ENSP00000278888,MS4A2,1,0
9606.ENSP00000280200,CD226,1,0
9606.ENSP00000281156,KHDRBS2,1,0
9606.ENSP00000282058,HAUS1,1,0
9606.ENSP00000282388,ZFP36L2,1,0
9606.ENSP00000283141,SYCP2L,1,0
9606.ENSP00000283147,BMP6,1,0
9606.ENSP00000284073,MSI2,1,0
9606.ENSP00000284245,C16orf74,1,0
9606.ENSP00000284268,ANKH,1,0
9606.ENSP00000284719,OLA1,1,0
9606.ENSP00000288602,BRAF,1,0
9606.ENSP00000289316,HIST1H2BD,1,0
9606.ENSP00000292174,CXCR5,1,0
9606.ENSP00000292377,GPC2,1,0
9606.ENSP00000292431,"NACC1",1,0
9606.ENSP00000292599,MAML1,1,0
9606.ENSP00000295087,ARL5A,1,0
9606.ENSP00000295190,SLC16A14,1,0
9606.ENSP00000295400,TGFA,0,1
9606.ENSP00000295987,SYN1,1,0
9606.ENSP00000296215,SNIP1,1,0
9606.ENSP00000296333,PIGX,1,0
9606.ENSP00000296370,S100P,1,0
9606.ENSP00000296694,SCGB3A2,1,0
9606.ENSP00000296839,FOXQ1,1,0
9606.ENSP00000296980,IL22RA2,1,0
9606.ENSP00000297338,RAD21,1,0
9606.ENSP00000297579,DCAF13,1,0
9606.ENSP00000298556,HPRT1,1,0
9606.ENSP00000299340,CYYR1,1,0
9606.ENSP00000300291,NUDT21,1,0
9606.ENSP00000301067,KMT2D,1,0
9606.ENSP00000301455,ANGPTL4,1,0
9606.ENSP00000302324,RNASE3,1,0
9606.ENSP00000302579,SCEL,1,0
9606.ENSP00000302935,IL16,0,1
9606.ENSP00000303373,HIST1H2AE,1,0
9606.ENSP00000303549,GPR82,1,0
9606.ENSP00000303550,CYTL1,1,0
9606.ENSP00000304268,ZNF33A,1,0
9606.ENSP00000306157,IL7R,1,0
9606.ENSP00000307449,NECAB2,1,0
9606.ENSP00000307674,CANT1,1,0
9606.ENSP00000307694,KCNS1,1,0
9606.ENSP00000310205,NRIP3,1,0
9606.ENSP00000311219,TRIM59,1,0
9606.ENSP00000311280,ELF4,1,0
9606.ENSP00000312021,FUT1,1,0
9606.ENSP00000312379,KMT2E,1,0
9606.ENSP00000312624,TCAP,1,0
9606.ENSP00000312631,INSM1,1,0
9606.ENSP00000313171,ATAD5,1,0
9606.ENSP00000313199,HNRNPD,1,0
