X_variable,SPLS_selected,R_vA_insula,L_vA_insula,R_dA_insula,L_dA_insula,R_HO_amgy,L_HO_amyg,pACC,dACC
module_BAL_EOS_02,Y,0.4697643704482672,0.4167957054332493,0.49309126752046434,0.07869076705224208,0.5509976861702457,0.266118659581903,0.28014085058292176,0.3837667268069851
CCL21,Y,0.18053458311492984,0.3549042380140233,0.3390904146703361,0.26082155113325695,0.5885167990352866,0.5849698715036274,0.2257033596659161,0.1581686717160648
CCL26,Y,0.5372579394540572,0.29877356031784613,0.4540440499820913,0.12978071840522562,0.4244125931634234,0.16520491296290174,0.5427169841889412,0.3989996107029859
CCL27,Y,0.24644953710876777,0.5081152763735229,0.36463251076323655,0.22225571460987512,0.467311939124224,0.4006421932228514,0.2590459668003194,0.16804865828526622
CCL7,Y,0.28845874859852816,0.17628492365396353,0.3103678386703912,0.11365696747845463,0.5391470354245073,0.3953583119638775,0.2829359409164802,0.27665285848455023
CXCL1,Y,-0.6222976346306764,0.3217605516999747,-0.6482853032887482,0.01970283724684967,-0.19115609437181685,0.00516799996776654,0.09318373368262658,0.01394165532227957
FLT3L,Y,-0.02136711214866053,0.6220301088181838,0.02064431231949436,0.3829572694530826,0.42821529548805,0.6364237226333004,0.37631196468489736,0.17639784218138177
GCSF,Y,0.24720883605113492,0.41883654707449486,0.4181907614310053,0.5315399332931875,0.4398026957218742,0.5158723971741266,0.17945507578723227,0.25152472182515223
GMCSF,Y,0.20731665820333656,0.1853195203089423,0.373370912043768,0.18153419371138435,0.46157022005042087,0.4703892450735419,0.2316653395843546,0.32003838238192256
IFNA2,Y,-0.2195793353655227,0.5378357745572434,0.16203397562030183,0.3799918693882739,0.6811013240677969,0.5675558255654573,0.13458264728607372,0.36405754895177656
IL10,Y,0.09687385577362496,0.5302182853467575,0.23879061651074224,0.1749915652165894,0.5237458295346736,0.4538506881419655,0.2968484741859212,0.24465665757522753
IL16,Y,0.42438941787871814,-0.5300152195575611,0.31781547652138314,-0.5029364789798324,-0.03839771175102916,-0.2086800493575229,-0.04601057709420766,0.03524635167163859
