variable,BDI.delta,BDI.ave,LSI.ave,BAL_EOS.pct_01,BAL_EOS.pct_02,BAL_EOS.pct_03,BAL_EOS.pct_04,BAL_EOS.pct_05,BAL_EOS.pct_06,BAL_EOS.pct_07,BAL_EOS.pct_08,BAL_PMN.pct_01,CCL1.multiplex,CCL11.multiplex,CCL13.multiplex,CCL15.multiplex,CCL2.multiplex,CCL21.multiplex,CCL22.multiplex,CCL26.multiplex,CCL27.multiplex,CCL3.multiplex,CCL4.multiplex,CCL7.multiplex,CCL8.multiplex,CX3CL1.multiplex,CXCL1.multiplex,CXCL13.multiplex,CXCL5.multiplex,EGF.multiplex,FGF2.multiplex,FLT3L.multiplex,GCSF.multiplex,GMCSF.multiplex,IFNA2.multiplex,IFNG.multiplex,IL10.multiplex,IL12B.multiplex,IL12p70.multiplex,IL13.multiplex,IL15.multiplex,IL16.multiplex,IL17A.multiplex,IL1A.multiplex,IL1B.multiplex,IL1RA.multiplex,IL2.multiplex,IL20.multiplex,IL23.multiplex,IL4.multiplex,IL5.multiplex,IL6.multiplex,IL7.multiplex,IL8.multiplex,IL9.multiplex,IP10.multiplex,KITLG.multiplex,PDGFAA.multiplex,PDGFAB.multiplex,RANTES.multiplex,sCD40L.multiplex,TARC.multiplex,TGFA.multiplex,TNFA.multiplex,TNFB.multiplex,TNFSF10.multiplex,VEGF.multiplex,R_vA_insula,L_vA_insula,R_dA_insula,L_dA_insula,R_HO_amyg,L_HO_amyg,pACC,dACC
BDI.delta,NA,0.14134959039188044,0.2115673219852221,0.32127562044393687,0.6903053470564162,0.2673106519794408,0.4265867539306325,0.13143962993851277,0.5061866745369654,0.27711349362112747,0.43972257453929187,0.28783168561592154,0.23075561850422233,0.66969473817641,0.28232079940077615,0.9266003030285448,0.2401815906922209,0.685875717160874,0.4788245893771428,0.7590380641314765,0.6752926067887002,0.4826496705614809,0.8665368519634751,0.752395270211877,0.8453236510679787,0.3958187556167012,0.29738456533899993,0.9660916521217942,0.32496055476058894,0.28629469683038455,0.5079253220020679,0.03950575441351889,0.26721591581324056,0.1542126068962122,0.1297656654202246,0.6168642434636911,0.7113233363092677,0.43470317962133875,0.552282983083054,0.5178567659972333,0.0749208609111558,0.602829307147065,0.5512434716946306,0.3790241130954144,0.8933749627978786,0.7845753424954314,0.580986292292677,0.16928481222840075,0.9467638152095628,0.4659948780270369,0.4790688957855611,0.9210717515580273,0.3604961580554975,0.6419239389644067,0.9964937817464492,0.3823666558394072,0.5025269260454377,0.7015874301176452,0.7166939400935399,0.6127127265196273,0.6931387468043806,0.561904427581182,0.8641294922215712,0.760683911299787,0.66676170306597915,0.2845852647743734,0.3691320447638031,0.7498576597660502,0.3000356273442939,0.8185121259432808,0.6866256438075939,0.08251016549698065,0.02969230503460496,0.1188340269547119,0.21599121264262333
BDI.ave,0.14134959039188044,NA,0.008170188035232506,0.6143096883166086,0.9022302188278952,0.5580819717608918,0.42262732215367205,0.8026116446880263,0.8503799897422049,0.30162953704020445,0.12830368484049526,0.7484009138158405,0.039282002713358466,0.02778369901549471,0.20357591046004986,0.12685276052638628,0.6986403237558783,0.750936363223865,0.19094602707187347,0.3310148002468023,0.47659078899930485,0.568088168884999,0.9201023575651777,0.36618334849441236,0.06710565427615789,0.7283417126251395,0.9439814072223194,0.2640285200543855,0.011170573776502657,0.9224684970122254,0.3863667626368814,0.1482228966494843,0.8260593700908823,0.8380139092907746,0.8676893826015439,0.21109183679986332,0.572452263393741,0.73868242279022,0.6136194328166562,0.1851949091158911,0.04530891805152448,0.5050696290236003,0.5771761938631366,0.498479622097165,0.5289243093666245,0.3305287513383357,0.23907007105213118,0.014688844071132356,0.40285706944986455,0.15747367204480534,0.02893843751305125,0.7565996664912746,0.7051181071735404,0.27772942990217997,0.21174742966113014,0.9894080384694433,0.35490471734272,0.9270801897883538,0.3557470863845924,0.6014313808063136,0.22743879454060623,0.04572562906749833,0.8770160981504642,0.7459175150035424,0.14208421592675924,0.26032703602028984,0.2151325815520202,0.9143112885430025,0.48346650531665647,0.5429901036214866,0.16928471307136328,0.3525205015836659,0.08022976749160904,0.9467801149271458,0.7107184120034453
LSI.ave,0.2115673219852221,0.008170188035232506,NA,0.14183787139037607,0.4256443254111437,0.12473801460898781,0.06099295971392804,0.34717185085266333,0.11276058656643984,0.04394646685166381,0.01800469915051295,0.057081420719429676,0.19791237440945952,0.7482813084811473,0.16405468696826064,0.8828913199938206,0.8440955391293552,0.49684039215477704,0.2697314953197174,0.25868168982289697,0.151800288895807,0.10332735239338087,0.01105354211042231,0.2204128231448108,0.29073326903327557,0.09970694173619554,0.1644861901072967,0.02451716216456834,0.9404401571933421,0.5952203871480637,0.2444613076519646,0.6455565931293883,0.8157778333032653,0.7049388913886709,0.9240400477405113,0.033291985059387796,0.13671778026591874,0.0956193265997789,0.08200317557610992,0.27200756630644496,0.0224321989828955,0.38878780462469464,0.2533716664560228,0.3648766981274121,0.08012192867967838,0.10925896641437527,0.014458704071704798,0.12001104249494943,0.41904437026172037,0.5736660067694797,0.1532252503175524,0.051528479851485676,0.03389917903827011,0.358891476784609,0.1929218055122679,0.29460161420029274,0.8392660445251077,0.906288263270056,0.022688372675655266,0.8972302566794963,0.062483937035584525,0.19132868641670475,0.3332379921640509,0.023034099009407782,0.27979085949235416,0.05488599378282921,0.5725767419552485,0.7714318389825787,0.580510179999612,0.8806188765032781,0.08686468740353015,0.20609807038922145,0.06367506414662616,0.3882186718678551,0.2807306597068384
BAL_EOS.pct_01,0.32127562044393687,0.6143096883166086,0.14183787139037607,NA,2.070852733737638e-7,9.631495601070128e-11,0.0022317807346636798,1.2749723454774653e-7,3.130207913686345e-4,2.1157047090070158e-4,0.4785260736905408,1.4548032769567953e-6,8.22444938628486e-5,0.1677118526625232,1.0419659307348006e-4,0.9012294916614079,0.2284833712517904,0.029411442199063886,1.758076241342721e-5,9.405734965883816e-4,1.1426599060060383e-5,3.989981824932265e-4,0.008951198059706122,5.440079131870945e-4,0.012238308647680718,0.008557204997105217,0.7300573465779177,0.0011936981737559194,0.6912981101768059,0.41929001698035595,0.0386191995559968,0.17116564848063387,0.07712026569228003,0.0014776234297979585,0.18033407990242822,0.009678020464654047,3.44697463576793e-5,0.11120061643836365,0.05202936749327991,3.939732053037659e-6,0.05743576636163139,0.015528593861269702,0.001422422640315002,0.04151898483663352,0.10895266073919707,2.8310536204223524e-6,0.0014702144542171336,0.005833239889982078,0.08523378933064718,0.015504284728919515,2.5936691465666684e-6,0.039307003816369424,0.03719544153523979,0.7411895073483481,2.4783658947313825e-7,0.2966748357074056,0.6866478127057603,0.11393305981671475,5.623116895669966e-5,0.9901446495155399,0.006983385430311628,2.541296388067771e-4,1.1570153802509253e-4,0.004343015171379694,0.023372065028480105,0.29077719503699573,0.0037119994095697884,0.2785256185963614,0.12059133220198137,0.39715099299271595,0.8512217901143142,0.24632276675858167,0.9980387651716818,0.47606496726450853,0.2141486217640991
BAL_EOS.pct_02,0.6903053470564162,0.9022302188278952,0.4256443254111437,2.070852733737638e-7,NA,2.536592536017679e-8,0.059237876875896545,9.116107580529054e-4,0.016542535054982155,0.011843116245171093,0.2236229768330149,3.297405057334224e-4,1.650322249830971e-4,0.34795605122809947,0.0018571821890669415,0.8109736440766797,0.43632516160640566,0.0033954603011352447,2.0928282639709472e-4,8.245355954095146e-5,3.658990550547969e-7,2.0056651332645004e-4,0.033986797070127306,0.001649240234772531,0.02924245121861757,0.008650188992206598,0.258398930285908,0.002150897893045123,0.20870276862577564,0.3646168794433944,0.047413667850199515,0.04124329263081128,0.020465114069247337,0.002468585362782605,0.07847618524440314,0.009212879550782205,6.467966898915378e-5,0.089647900644509,0.07470284418546536,1.702427814498364e-6,0.24781514262730342,0.05706768537157636,7.724565735856004e-5,0.0404428893059372,0.12447922280718648,5.635240711310274e-5,0.0012413250534168974,0.054591055491011176,0.014845452855122954,0.019830954547469526,1.6832728405136166e-4,0.01430965061010614,0.024887476983110668,0.510203848402774,2.0793767465221435e-5,0.5124782224180144,0.4969124547554493,0.08058764015780451,1.7552128821507473e-4,0.7021223800457375,0.020499480370845147,0.006011369931806287,7.668219880185845e-6,0.00803116786497693,0.016455696572622136,0.32435649514578335,0.00791887099269939,0.03315272033894057,0.017972829911585997,0.027810706121070172,0.5405060979287648,0.00797462130023252,0.25894163150538874,0.16915763128355144,0.04513256651344966
BAL_EOS.pct_03,0.2673106519794408,0.5580819717608918,0.12473801460898781,9.631495601070128e-11,2.536592536017679e-8,NA,0.007551305828030319,9.514243372144016e-5,0.002172917437432975,4.592154801148496e-4,0.7002510582776333,4.935815718365433e-5,2.7463468810151603e-4,0.22588519717883537,3.495190288678174e-4,0.541140706276682,0.44561539408371686,0.028687804900066727,3.900865284567345e-5,2.1152436184701529e-4,8.621264426356134e-6,6.378869086209882e-4,0.01973327075249731,0.0017860225857952994,0.03126510241248326,0.015808375414395837,0.6324832308720807,0.0014000933183422326,0.5784560785874269,0.2431494931129965,0.06612208745818404,0.13538712001929576,0.12418961427660169,0.004004904474322668,0.15826083601838947,0.015098852970510057,2.480867485217253e-4,0.23313821697291437,0.12813185861549692,9.224272476959783e-7,0.07492800078998751,0.049298358330922554,0.00308322257262561,0.045256861807717375,0.14175167734521166,2.548286584591608e-5,0.0018911384816080457,0.008749817055690334,0.08019754616130559,0.02075265663625636,1.8462398054364115e-5,0.06267823122336491,0.05905583304795825,0.5023898997865892,3.069496512519976e-6,0.4778670378695262,0.5630232702576743,0.08319913357179987,3.4336006058799384e-4,0.6995086865785867,0.025629851329444397,3.9677601329124457e-4,3.538677494052678e-5,0.01236228143615703,0.02802274807328531,0.23218259381438333,0.0024628985312125096,0.16278967337764927,0.17419064467660506,0.2125507639765547,0.9267752906299158,0.21799032904943494,0.8432469084950505,0.48425673795026714,0.20455542658803982
BAL_EOS.pct_04,0.4265867539306325,0.42262732215367205,0.06099295971392804,0.0022317807346636798,0.059237876875896545,0.007551305828030319,NA,0.0016334861570710402,0.3465557511330766,1.7495285220547885e-9,0.22898191021957603,0.12579657421999868,0.030509883147082473,0.02082932782760505,0.006476123182635796,0.9681684480074089,0.04888291723871996,0.4929304086381503,0.0010528586811928697,0.09448823042650822,0.024530822649032835,0.055797305115025786,0.5353443266537532,0.07630342361865372,0.2898352406541602,0.043274622082793535,0.06970574410539943,0.17773145777335708,0.48712321488889176,0.3193090194336756,0.09565032748004709,0.9757348385235758,0.265947475791974,0.04733858998648133,0.3196746837730684,0.26791971757291244,0.020635161970469884,0.7863455497860525,0.2629409621257659,0.0031729133882061333,0.31581692827798324,0.3276329528411861,0.21487989004759056,0.6692402502096679,0.935814388428903,0.01372049808551834,0.25599870618320786,0.004688641874962762,0.399014264069276,0.025308283186550096,9.126075027459102e-4,0.5381579838241204,0.2876028450666481,0.9735677612623901,5.38073740545375e-4,0.4049405733240117,0.9897532400935267,0.10380733893771055,0.019678786815984894,0.9020990356525207,0.1240959775072008,0.002383312204736754,0.00957116009466974,0.33073536417174765,0.07936994245969275,0.5083137503167974,0.012112432959491493,0.7376257116509597,0.9747367480896536,0.19831808731133194,0.273501555059527,0.5432852907326406,0.2094436780084714,0.5609168124671207,0.8720819793562475
BAL_EOS.pct_05,0.13143962993851277,0.8026116446880263,0.34717185085266333,1.2749723454774653e-7,9.116107580529054e-4,9.514243372144016e-5,0.0016334861570710402,NA,3.9771525003384767e-4,0.0011758978779514706,0.4083364083288612,1.79656809287998e-4,6.115939264348391e-4,0.06711536617980851,0.0010248264257299855,0.8774287411011428,0.032736429624189434,0.10114112198225467,4.1837428196367377e-4,0.050294434706570135,0.001032988930129708,0.013303622952538063,0.09130962994333225,0.004048796639210428,0.022876107146454938,0.01736878375782247,0.6474516345391461,0.005967222038255837,0.9151303931562229,0.6183249629809937,0.029450765276161528,0.41386883987974654,0.12436704911821783,0.01635782959286569,0.37537804526045715,0.015093823125385875,4.8275062858715856e-4,0.06737079640987487,0.04399645165752686,0.0033914580855594068,0.16770238115246516,0.12437935935400324,0.015848939771522463,0.31743558552517026,0.22959907059032503,0.0043961477586642594,0.010069928605092482,0.004863651093607313,0.20042471890825597,0.02719263757832735,3.9037405716912943e-4,0.11599021772972118,0.07206698164076908,0.717314181729344,4.8394512808913603e-4,0.08205005313789826,0.5171480974662834,0.05974871447466468,1.157668911939691e-4,0.9014457215190745,0.007968094378508095,0.0026652733624965563,0.0118619417137662,0.007148679442156691,0.07276310233391503,0.29259998650175656,0.031201478451247766,0.6855570585660542,0.09076448335220255,0.9954322187716118,0.9825280469648456,0.4797675665926202,0.6700837819318226,0.3881164483417101,0.4040197582518421
BAL_EOS.pct_06,0.5061866745369654,0.8503799897422049,0.11276058656643984,3.130207913686345e-4,0.016542535054982155,0.002172917437432975,0.3465557511330766,3.9771525003384767e-4,NA,0.12990460909998225,0.08805916818569437,3.4558702601827918e-6,0.023124165252401685,0.5698870058576493,0.057131918745510823,0.5626654556383779,0.21499980098363358,0.05584986995809649,0.03302487936651044,0.03944998988394488,0.003716755835363905,0.028665203463371647,0.011363713257402708,0.0060980245299675495,0.037182301087167025,0.02214606086315296,0.7878783960286206,1.1132282674575222e-5,0.545223752605422,0.3951405650752362,0.053270421446681926,0.15913798619492514,0.1955215553315206,0.043374977519821556,0.5089083362744358,0.00858923458139671,0.004365181099846849,0.007401073584571982,0.10002659259466729,0.08784752343821034,0.0549868758529628,0.21819237355291277,0.014603589280614893,0.12009456630785009,0.0823070489392812,0.06285983085339342,8.829609905847136e-4,0.22733154570074876,0.16310771420089276,0.08644209247107959,0.020454196168690597,0.021104687619728058,0.0202863986712849,0.9716697249828938,0.014411234240736537,0.010080412968768382,0.382164143520868,0.16671941781150545,9.313078207979775e-4,0.5603516964598731,0.0018172599037944437,0.05798889535134144,0.10054798527138553,6.579193165674457e-4,0.14325145112060067,0.30584904210992914,0.08866330478563178,0.9276971379696666,0.2872826794973822,0.8309940596411849,0.9988501636557361,0.7066265575294437,0.84192943229792,0.7633238777649007,0.673244070292847
BAL_EOS.pct_07,0.27711349362112747,0.30162953704020445,0.04394646685166381,2.1157047090070158e-4,0.011843116245171093,4.592154801148496e-4,1.7495285220547885e-9,0.0011758978779514706,0.12990460909998225,NA,0.7298188575892708,0.014908841448309396,0.005198068702325198,0.04075205012029759,3.1780230412614685e-5,0.7366141013010603,0.30443018534275845,0.22406140361905602,7.339404742552347e-4,0.008584116316650237,0.021991453479373035,0.07338712925775326,0.04986821833027344,0.024515576717554444,0.034108282624520925,0.11753001571623267,0.48192483911513384,0.012538863268669376,0.23726630325216624,0.4212802118772574,0.2927102560944974,0.35889692861911104,0.46928216367694153,0.08354821975931048,0.43937569605691484,0.05061501423809345,0.01899326206125984,0.6090324988468654,0.21984509243011519,0.0010734007192869655,0.010334814057541886,0.13904060245454586,0.09185917650306186,0.28683297877108416,0.1054648797412141,0.010866940075284104,0.01565458737351033,0.0012534252486209319,0.23673248312153183,0.018887946958932922,9.509538518259752e-5,0.16136242889344388,0.13044103665934292,0.865120011613423,5.449257389580353e-4,0.6432184743804967,0.9494582345345033,0.27682570045326993,0.0056500378161472575,0.7431444634692843,0.0449403289557746,0.001313684611921495,0.029175469497812134,0.03291022458499837,0.03477290785331366,0.797752196051442,0.0031530476305901,0.9753939639290137,0.9641798959917136,0.3641982890386348,0.32370577771819664,0.8878647869781351,0.28958957964574616,0.5457266018211269,0.8372668255063891
