variable,BDI.delta,BDI.ave,LSI.ave,BAL_EOS.pct_01,BAL_EOS.pct_02,BAL_EOS.pct_03,BAL_EOS.pct_04,BAL_EOS.pct_05,BAL_EOS.pct_06,BAL_EOS.pct_07,BAL_EOS.pct_08,BAL_PMN.pct_01,CCL1.multiplex,CCL11.multiplex,CCL13.multiplex,CCL15.multiplex,CCL2.multiplex,CCL21.multiplex,CCL22.multiplex,CCL26.multiplex,CCL27.multiplex,CCL3.multiplex,CCL4.multiplex,CCL7.multiplex,CCL8.multiplex,CX3CL1.multiplex,CXCL1.multiplex,CXCL13.multiplex,CXCL5.multiplex,EGF.multiplex,FGF2.multiplex,FLT3L.multiplex,GCSF.multiplex,GMCSF.multiplex,IFNA2.multiplex,IFNG.multiplex,IL10.multiplex,IL12B.multiplex,IL12p70.multiplex,IL13.multiplex,IL15.multiplex,IL16.multiplex,IL17A.multiplex,IL1A.multiplex,IL1B.multiplex,IL1RA.multiplex,IL2.multiplex,IL20.multiplex,IL23.multiplex,IL4.multiplex,IL5.multiplex,IL6.multiplex,IL7.multiplex,IL8.multiplex,IL9.multiplex,IP10.multiplex,KITLG.multiplex,PDGFAA.multiplex,PDGFAB.multiplex,RANTES.multiplex,sCD40L.multiplex,TARC.multiplex,TGFA.multiplex,TNFA.multiplex,TNFB.multiplex,TNFSF10.multiplex,VEGF.multiplex,R_vA_insula,L_vA_insula,R_dA_insula,L_dA_insula,R_HO_amgy,L_HO_amyg,pACC,dACC,R_insula_3way,LPR_ACC_EOS
BDI.delta,1,0.3239533504719083,0.27726967201930497,0.24050844652225464,0.09783037233003763,0.26798864389970045,0.193814417370907,0.3587772728991069,0.1625273403058953,0.2627594865426532,0.1884576423183005,0.2571714296116938,0.3292725709513398,0.12016320315529411,0.29703723457801845,0.026041498050607983,-0.3230718975387006,-0.11397724557916747,0.19822470204341427,0.08656191264740092,0.11801747572282324,-0.19653817438482907,-0.04748834865501666,-0.08901811651929883,0.05511518214331592,-0.2366297621070379,-0.28830221208809287,0.012018590344644224,-0.2729592974868498,-0.2947066056767982,-0.185549116009174,-0.5358537726332936,-0.3060796714022763,-0.38693678155967737,-0.4093129730241284,0.1407404644706796,-0.10434494996927482,-0.2181765050526998,-0.16685152616892443,0.18130101918594901,-0.4730604797377276,0.14631704721877148,-0.16728193258779933,-0.24489478624306535,0.03788200685232089,0.07717147363299205,0.1550998947244454,0.3743062936127713,-0.018876544134055283,-0.20392944775906677,0.19811679161594908,-0.028008429324550523,-0.25424622034709454,-0.1309026292449091,-0.0012424304184915562,-0.2432344072534467,0.18787428096614767,-0.10801687578922067,0.1023261227592358,-0.14238481043060178,-0.11121649145250373,0.16288418678104843,-0.04835225062866254,0.08595425307641927,0.12128993218503194,0.29570678782595766,-0.24985562609487885,0.074010167153694,-0.23743583322767825,0.05330034301793032,-0.09357371942131998,-0.3876509809207103,-0.4746542214279867,-0.3509110699630461,-0.281733001825033,0.04904378031857766,-0.2859070763254646
BDI.ave,0.3239533504719083,1,0.5488018460916396,0.1235530230382027,-0.030228360802654206,0.1434051928852733,0.19544609958117148,0.06146545108649952,0.0464026151790027,0.25016220699070507,0.3615194339346261,0.07882130404514873,0.5363649722248472,0.5661955208728319,0.3480953760895146,0.4121646948744818,0.10913156328270035,-0.08955834674291394,0.35738971721746016,0.2696923195738088,0.1992126038011738,-0.16034961668660813,0.02835343795551066,0.2513483794801995,0.4846607413314704,0.09796343027001439,0.019864526801761467,0.3080268494772858,-0.6338416236218588,0.027511390142721952,0.2412576345745043,-0.39218453758559535,-0.0620719707509898,-0.057751237197991565,0.04707489172738783,0.3427387158924585,0.1585678628646443,-0.09410760778678509,0.1420253120194851,0.36175370233375137,-0.5232894556097154,0.1867776694908977,0.15664557534431842,-0.18962513140736012,0.17661036001424954,0.269953336865451,0.32379513295651474,0.6149846333586093,-0.23322170162705147,0.38413674590933317,0.5628192782549698,0.08746284046340717,-0.10668342608863204,0.29975447692692864,0.3422772648463232,-0.0037533538665670187,0.2571199615458196,-0.025870818896348936,0.25668542738750694,-0.14687527098512754,0.3314919707962713,0.5224342101586433,0.043732233288533366,0.09141904360259627,0.3977126199228624,0.3103060485096909,-0.33990887406960824,0.0250085036465382,-0.16180931099578738,-0.14069355495454194,-0.31149046098167826,-0.2136041348063668,-0.3903304603504848,-0.01551547232125331,-0.0860541077452471,-0.2374119428015078,0.0324425673999545
LSI.ave,0.27726967201930497,0.5488018460916396,1,0.34048961270240785,0.18868045825663968,0.35484335810190265,0.42614590366160443,0.22185967400727444,0.365754793072363,0.4547694499713171,0.5228783777728654,0.4321149185766695,0.3397626187995306,0.08714267487209,0.3653602905382751,0.04006144462681218,-0.053466607493987,0.18328727076332707,0.29359886222615766,0.30015302544696787,0.3754901968136384,0.42217509179720053,0.6160451163481596,0.32429946409611426,0.2815774540654108,0.42623442048219573,-0.3650129943259624,0.5585639038007427,-0.020326235629459483,0.1437920545141014,0.3088467931241942,-0.12464677264122262,0.06332313371305459,0.10274908601018125,-0.025936622319599412,0.5335596657136793,0.38874842670543613,0.430944994028508,0.4477540119932269,0.29226928760799414,-0.5654979937748762,0.23127167540749824,0.3033639087157224,0.24280734941543308,0.4502305520182889,0.4157358304125817,0.5977869167084765,0.4046622301657241,0.2172104507367948,0.15218655732354716,0.3742846191092596,0.4944746713835785,0.5320246613186332,0.24575961942441912,0.3433445970567058,0.279420672165676,0.055142872487787514,-0.03202054591284054,0.5646199589017656,0.035130245901527635,0.47579324587531274,0.3445007542843865,0.25873789497265726,0.5634470065116022,0.28777299117604727,0.4884609158007176,-0.1526142317341144,0.06570368715898088,-0.1246374531175957,-0.033994693113615436,-0.37349258287886983,-0.28048597400665815,-0.40196770536467413,-0.19350835868522936,-0.24062061454446088,-0.12493981368898918,-0.19505931700386192
BAL_EOS.pct_01,0.24050844652225464,0.1235530230382027,0.34048961270240785,1,0.8648854433961956,0.9392316645721243,0.6168059991894947,0.8716597009493949,0.6969552781407037,0.7104219784675319,-0.15942538945181897,0.8335383357872824,0.8096024813863711,0.35057003163052297,0.8029586694446912,0.032574093845845,0.3083835341493747,0.5278724321111344,0.8473918652734876,0.7271941877626664,0.8564411144831892,0.7600522484397221,0.6125229845544458,0.7487217674231752,0.5922970781142648,0.6153291760478211,-0.09040093499539326,0.7171692797637613,0.10396687409201467,0.20966305332731972,0.5051291270114552,0.34792310286851114,0.4400474987025364,0.7078308026991295,0.34106575538686507,0.6075950944757875,0.8320051317499018,0.4004471100605987,0.47847347444722416,0.8764454366812566,-0.4691865769964611,0.5759947303115032,0.7095230047222822,0.4988317469684722,0.40276744713346874,0.8820367116415012,0.7080548745998169,0.6382265858744932,0.4296229759439329,0.5761046980170799,0.8834733384835706,0.5036037861679954,0.5083534364342841,0.08654603282154268,0.9158899417596342,0.26888924976380646,-0.10561085795918525,0.3976708833991482,0.8197733916147216,0.0032428673632692354,0.6276892072745941,0.775528816676991,0.7999366926594597,0.6547234676627595,0.5459815555762475,0.2720689902984693,-0.6631313465880389,0.2620157233616772,0.3684709454934105,0.2061469714137105,-0.04613873382477685,0.2796030190876382,-6.049904061190129e-4,0.17405397422367386,0.29870613266824153,0.1761746462319237,0.24488547539425634
BAL_EOS.pct_02,0.09783037233003763,-0.030228360802654206,0.18868045825663968,0.8648854433961956,1,0.8917360303183053,0.40828879557947567,0.6562099606080202,0.5049204284587826,0.5264137499034977,-0.27037066692184875,0.6951110062745441,0.7893042093591828,0.2426914739437029,0.6974243036441619,0.06272835332535086,0.2022337758032719,0.6677951552566551,0.7818442276954528,0.8095325009402017,0.9112420655301406,0.7832014303256509,0.5159804320590102,0.7028823878392787,0.5283381479303556,0.6146577444684865,-0.29026543308274977,0.6905122307937989,0.3212088899923274,0.2346649907425199,0.48699224481083936,0.49941583737774514,0.5560276730986256,0.6838572894099949,0.4382515865299163,0.6107132034099945,0.816099614272322,0.42425102725655944,0.44330735206805694,0.8901277964780507,-0.2965168685213223,0.4697976684672445,0.8113220598856542,0.5011285337181434,0.38737525424455943,0.8197174729832616,0.7154832644468646,0.47398760638300663,0.5791380764576274,0.5583656220351071,0.7886942593547213,0.5816842030229699,0.5411250551027262,0.1715935856995926,0.8437031181711359,0.1706857151805966,-0.1769377362800784,0.4354994346705879,0.7873965978543529,-0.10015439363467515,0.5559025982656833,0.63649102392587,0.8643096099778664,0.6192414432623444,0.5718983739929517,0.25444584309649626,-0.6201030511966976,0.49010735459917104,0.5361247380915202,0.503939029445802,0.1497864329611731,0.5889487644479585,0.27254852446734573,0.32889753754656736,0.4644601214712658,0.5014669763261824,0.34310224290359975
BAL_EOS.pct_03,0.26798864389970045,0.1434051928852733,0.35484335810190265,0.9392316645721243,0.8917360303183053,1,0.5533655301436644,0.735781106192714,0.6180620650214919,0.6830530163896344,-0.08700084124521494,0.7546979301388629,0.7729480738114134,0.3100263761443852,0.7647150417798345,0.15939964807107104,0.19824541088887745,0.5298813811017336,0.8290006122837034,0.7815028638867157,0.8620472847714651,0.7426687902460947,0.5587309197361539,0.6992329498171295,0.5228943844097688,0.5747387239311486,-0.12505736766910838,0.7102228982631799,0.14509832711223758,0.2993257744948141,0.4555426503173506,0.377348714591018,0.38764965579421795,0.6590951451286731,0.3580060937156168,0.577959069992659,0.7763225533977376,0.30546976926156433,0.3839520378724327,0.8991107587693845,-0.44300050564996984,0.48344177094249374,0.6727558579158814,0.4911881027779434,0.3717547784422255,0.8391054677187526,0.6965812087446246,0.613944703671503,0.4360039146084044,0.5549861767388866,0.8463262558354196,0.46078336819215787,0.46653103526377304,0.1747272903885505,0.8806936186609085,0.18471621267126248,-0.15096301602112475,0.43216707683680305,0.7653333747628991,-0.10107320089510928,0.5388291451191858,0.7602510224222113,0.8313722096059782,0.5916234080642937,0.5317624145974529,0.3060649150928355,-0.6839700874828878,0.3335940865480404,0.32527010442411,0.2997020872761473,-0.02261680881616166,0.2963313196121142,0.04864062028278707,0.17088472734364207,0.30476099030867637,0.2594920780688806,0.26424990987143193
BAL_EOS.pct_04,0.193814417370907,0.19544609958117148,0.42614590366160443,0.6168059991894947,0.40828879557947567,0.5533655301436644,1,0.6311525264318577,0.2107180595292384,0.918063415851303,0.267382818075636,0.3364255241698468,0.5248944218766318,0.5547103700329997,0.6321501547141509,0.010476308981627236,0.48421552245713806,0.17855201354112749,0.7225023057745996,0.41857516856348026,0.5422469687711379,0.47192957343416037,0.16165962750687216,0.4411405438859184,0.2725804315645143,0.49517951369341795,0.4502986912760877,0.34298821503559934,-0.18091745891873676,0.25702367800282144,0.4172436872197151,0.007985284637924018,0.28590341797264784,0.4871358618058222,0.25683612917719634,0.28477636727034616,0.5554103816193914,0.07107200855782135,0.2876314725804169,0.6712905378374368,-0.25882115094664354,0.2527850078102967,0.3171227106995113,0.1117988451789529,0.02114001613086578,0.5845721556465406,0.2916689544093062,0.6505307768252534,0.2187163347297165,0.5398172409132816,0.728434449879132,0.16056123006017223,0.27379654520931473,-0.008698660123090673,0.749132815866468,0.2160452836729853,0.003371665438766853,0.4082090933774835,0.5589352812603373,-0.03228601641213838,0.3877384714104692,0.6855714449946292,0.6083006975003945,0.25122127338083367,0.43708013192192685,0.17234950688238618,-0.5929866408815052,-0.08231156791560265,0.007794238695818745,-0.30879897236067716,-0.2646726304190007,-0.14877125418274,-0.30165291069831346,-0.1423843839733021,-0.0396143186729735,-0.4029991287658503,-0.07415252335805386
BAL_EOS.pct_05,0.3587772728991069,0.06146545108649952,0.22185967400727444,0.8716597009493949,0.6562099606080202,0.735781106192714,0.6311525264318577,1,0.6883563024699787,0.6455414083851948,-0.1855730390546168,0.7158337948166702,0.74428516887817,0.4540686383469436,0.7236334187255222,-0.040473976682201346,0.51910198526867,0.41110459105244784,0.7583570433441983,0.4816063318389401,0.723301448475262,0.586675344201537,0.4222781447501361,0.6585111167897552,0.5476240144983354,0.5680374477203147,0.11962487056502348,0.6369172673352962,-0.027972763122592,0.13024105666509528,0.5277643585383264,0.2120604048557682,0.38748148488245115,0.5723221011839578,0.22958962095080088,0.5779823204663609,0.7531581078270424,0.4536921837756381,0.49371036520025274,0.6678563465372892,-0.35057734055316664,0.387469823585196,0.5745580747800542,0.25798654137114096,0.30768172808484495,0.6540617595045506,0.6050592811256568,0.648502442653995,0.32680990366578516,0.5341591953133926,0.7608289111970343,0.39561157955665005,0.446950883076317,-0.09483547450666809,0.7530672364631406,0.43362385060938147,0.1688274959026151,0.4654118026994464,0.799920262171953,-0.03250245423898636,0.6197241846159632,0.6800806731376059,0.5943759290231919,0.6262918165497927,0.44597928434728934,0.27108211836209206,-0.5230614393345744,0.09940649323247,0.3988123042282729,-0.0014090485078282829,0.005390033812850058,0.17261818730294184,-0.10456904475217732,0.21003126367015357,0.20322614794815316,0.040549511477979056,0.2932205263040347
BAL_EOS.pct_06,0.1625273403058953,0.0464026151790027,0.365754793072363,0.6969552781407037,0.5049204284587826,0.6180620650214919,0.2107180595292384,0.6883563024699787,1,0.33302872052887633,-0.3721889132040396,0.8171789750481544,0.5467991035235958,0.14834633251649493,0.4696908167755943,-0.15109980248277777,0.3170441455539545,0.4718406476962029,0.5183738739734759,0.5032892361395329,0.6630637716456333,0.529944752193853,0.5972098508204703,0.6356616564337432,0.5083836290685051,0.5500927813793401,-0.07055089027810572,0.8569704585530263,0.15781419238219818,0.22047381968676302,0.4762800898633248,0.35730351478208905,0.33019898974815487,0.49497415606743556,0.1721115676430519,0.6150972373003321,0.654446622835473,0.624207268737824,0.41233109780752913,0.4264184920900649,-0.47330857457557973,0.3149626926892269,0.5802782864888019,0.39157845987693596,0.4332967592315126,0.4605017711421507,0.7297840413258356,0.3091103611770867,0.3541562098897167,0.4281328749749802,0.5560674426596696,0.5537263045857891,0.5566807545879818,0.009323517709851958,0.5811957726926469,0.6049925297831842,0.22643039928330208,0.3513373829084616,0.7276016932198146,0.15198522407037468,0.6984318510481028,0.4682737227522934,0.4117561134165223,0.7414739894217258,0.37046188374562034,0.2640172590944661,-0.42543244558602905,0.022331363380200586,0.25745452084784964,0.05249361961269143,-3.546946694510941e-4,0.09244032942157249,-0.049054374617631825,0.07401118912781596,-0.10351126596452533,0.1149111482029221,0.1776368648495756
BAL_EOS.pct_07,0.2627594865426532,0.25016220699070507,0.4547694499713171,0.7104219784675319,0.5264137499034977,0.6830530163896344,0.918063415851303,0.6455414083851948,0.33302872052887633,1,0.0780773825439304,0.5117524952757041,0.644785228859466,0.5004639739213002,0.8339472382902695,0.08812834629532307,0.2647650001224614,0.3111867989128654,0.7371979134711045,0.6151342542211755,0.5506237092898563,0.44511407946012554,0.48238833895543276,0.5422952082130654,0.5156818512649395,0.3940869308476365,0.1830465113596246,0.5906730348346937,-0.30291649921002634,0.20878705621757981,0.27102253645602997,0.2373968410577354,0.1882718055507106,0.4317274058487088,0.20091939052813046,0.4810214117146172,0.5615451312052164,0.1336684668339329,0.31389287066845695,0.7216891089559001,-0.6033895062539475,0.3741159740875777,0.42163138631049,0.27421725706872396,0.40643559215014297,0.6001354186207113,0.5754269309950589,0.7150634192852069,0.3032450803278749,0.561952572423938,0.8055549877404795,0.35553346392954915,0.38182281767204185,0.04457198983893476,0.7486585244960599,0.12115640527354035,0.01664018441676434,0.27974943181351064,0.6400566765585406,-0.08587081752529176,0.49181649632606256,0.7130209836062774,0.5285233135326575,0.5186627027496766,0.5140626060053061,0.06720002209894282,-0.6716121590646661,0.007591414719780686,-0.011052943913467653,-0.22056423576262235,-0.2393390497416495,-0.03469495656524388,-0.2562672021841353,-0.14788143306806217,0.050519691911424594,-0.2840702076205746,-0.056121575429031824
