category,subcategory,group,size.group,size.overlap.category,size.category,Description,size.overlap.term,size.term,k.K,p.adjust,qvalue,ENTREZIDs,SYMBOLs,ENSEMBLIDs
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,34,265,0.12830188679245283,3.142154807001548e-7,2.9531530140992e-7,10344/3082/3604/84957/55540/4804/6367/6361/50615/6354/6347/7850/729230/7852/2322/8740/3559/8792/3455/3570/1234/3577/1230/4982/3576/8794/2829/23765/3579/6357/1232/1435/1438/4050,CCL26/HGF/TNFRSF9/RELT/IL17RB/NGFR/CCL22/CCL17/IL21R/CCL7/CCL2/IL1R2/CCR2/CXCR4/FLT3/TNFSF14/IL2RA/TNFRSF11A/IFNAR2/IL6R/CCR5/CXCR1/CCR1/TNFRSF11B/CXCL8/TNFRSF10C/XCR1/IL17RA/CXCR2/CCL13/CCR3/CSF1/CSF2RA/LTB,ENSG00000006606/ENSG00000019991/ENSG00000049249/ENSG00000054967/ENSG00000056736/ENSG00000064300/ENSG00000102962/ENSG00000102970/ENSG00000103522/ENSG00000108688/ENSG00000108691/ENSG00000115590/ENSG00000121807/ENSG00000121966/ENSG00000122025/ENSG00000125735/ENSG00000134460/ENSG00000141655/ENSG00000159110/ENSG00000160712/ENSG00000160791/ENSG00000163464/ENSG00000163823/ENSG00000164761/ENSG00000169429/ENSG00000173535/ENSG00000173578/ENSG00000177663/ENSG00000180871/ENSG00000181374/ENSG00000183625/ENSG00000184371/ENSG00000198223/ENSG00000227507
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_CHEMOKINE_SIGNALING_PATHWAY,21,189,0.1111111111111111,0.0022639189679391036,0.0021277433909202103,10344/5829/6367/6361/6354/6347/729230/7852/5330/5058/653361/1234/3577/1230/5579/3576/2829/3579/6357/1232/5613,CCL26/PXN/CCL22/CCL17/CCL7/CCL2/CCR2/CXCR4/PLCB2/PAK1/NCF1/CCR5/CXCR1/CCR1/PRKCB/CXCL8/XCR1/CXCR2/CCL13/CCR3/PRKX,ENSG00000006606/ENSG00000089159/ENSG00000102962/ENSG00000102970/ENSG00000108688/ENSG00000108691/ENSG00000121807/ENSG00000121966/ENSG00000137841/ENSG00000149269/ENSG00000158517/ENSG00000160791/ENSG00000163464/ENSG00000163823/ENSG00000166501/ENSG00000169429/ENSG00000173578/ENSG00000180871/ENSG00000181374/ENSG00000183625/ENSG00000183943
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,6,22,0.2727272727272727,0.008048454747851036,0.00756433716903293,64131/22856/55790/50515/166012/51363,XYLT1/CHSY1/CSGALNACT1/CHST11/CHST13/CHST15,ENSG00000103489/ENSG00000131873/ENSG00000147408/ENSG00000171310/ENSG00000180767/ENSG00000182022
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_HEMATOPOIETIC_CELL_LINEAGE,12,87,0.13793103448275862,0.008048454747851036,0.00756433716903293,3674/2208/7850/2322/3559/909/911/910/913/3570/1435/1438,ITGA2B/FCER2/IL1R2/FLT3/IL2RA/CD1A/CD1C/CD1B/CD1E/IL6R/CSF1/CSF2RA,ENSG00000005961/ENSG00000104921/ENSG00000115590/ENSG00000122025/ENSG00000134460/ENSG00000158477/ENSG00000158481/ENSG00000158485/ENSG00000158488/ENSG00000160712/ENSG00000184371/ENSG00000198223
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_WNT_SIGNALING_PATHWAY,13,151,0.08609271523178808,0.2791355970218944,0.2623454859228331,6932/2033/81029/894/4316/5330/51176/85407/8321/10023/5579/23401/5613,TCF7/EP300/WNT5B/CCND2/MMP7/PLCB2/LEF1/NKD1/FZD1/FRAT1/PRKCB/FRAT2/PRKX,ENSG00000081059/ENSG00000100393/ENSG00000111186/ENSG00000118971/ENSG00000137673/ENSG00000137841/ENSG00000138795/ENSG00000140807/ENSG00000157240/ENSG00000165879/ENSG00000166501/ENSG00000181274/ENSG00000183943
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_JAK_STAT_SIGNALING_PATHWAY,13,155,0.08387096774193549,0.2862144355888413,0.2689985296887607,2033/50615/1154/894/3559/10253/5292/6775/3455/3570/9021/8651/1438,EP300/IL21R/CISH/CCND2/IL2RA/SPRY2/PIM1/STAT4/IFNAR2/IL6R/SOCS3/SOCS1/CSF2RA,ENSG00000100393/ENSG00000103522/ENSG00000114737/ENSG00000118971/ENSG00000134460/ENSG00000136158/ENSG00000137193/ENSG00000138378/ENSG00000159110/ENSG00000160712/ENSG00000184557/ENSG00000185338/ENSG00000198223
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_SULFUR_METABOLISM,3,13,0.23076923076923078,0.3010878047092066,0.28297726006504387,50515/166012/9060,CHST11/CHST13/PAPSS2,ENSG00000171310/ENSG00000180767/ENSG00000198682
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,4,26,0.15384615384615385,0.3417518453131772,0.3211953433394523,9957/64131/9956/9953,HS3ST1/XYLT1/HS3ST2/HS3ST3B1,ENSG00000002587/ENSG00000103489/ENSG00000122254/ENSG00000125430
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,10,116,0.08620689655172414,0.3417518453131772,0.3211953433394523,7414/7294/5829/4318/10398/7852/5603/653361/5579/6494,VCL/TXK/PXN/MMP9/MYL9/CXCR4/MAPK13/NCF1/PRKCB/SIPA1,ENSG00000035403/ENSG00000074966/ENSG00000089159/ENSG00000100985/ENSG00000101335/ENSG00000121966/ENSG00000156711/ENSG00000158517/ENSG00000166501/ENSG00000213445
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_MELANOGENESIS,9,101,0.0891089108910891,0.3417518453131772,0.3211953433394523,6932/2033/81029/1910/5330/51176/8321/5579/5613,TCF7/EP300/WNT5B/EDNRB/PLCB2/LEF1/FZD1/PRKCB/PRKX,ENSG00000081059/ENSG00000100393/ENSG00000111186/ENSG00000136160/ENSG00000137841/ENSG00000138795/ENSG00000157240/ENSG00000166501/ENSG00000183943
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,18,272,0.0661764705882353,0.4342015470852517,0.4080841607944096,2696/27334/3274/5732/59340/1910/5739/5724/1901/9934/5029/2859/53829/286530/2359/155/1269/140,GIPR/P2RY10/HRH2/PTGER2/HRH4/EDNRB/PTGIR/PTAFR/S1PR1/P2RY14/P2RY2/GPR35/P2RY13/P2RY8/FPR3/ADRB3/CNR2/ADORA3,ENSG00000010310/ENSG00000078589/ENSG00000113749/ENSG00000125384/ENSG00000134489/ENSG00000136160/ENSG00000160013/ENSG00000169403/ENSG00000170989/ENSG00000174944/ENSG00000175591/ENSG00000178623/ENSG00000181631/ENSG00000182162/ENSG00000187474/ENSG00000188778/ENSG00000188822/ENSG00000282608
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_AXON_GUIDANCE,10,129,0.07751937984496124,0.4348138910740002,0.4086596720620303,8440/7852/1948/2048/10154/8482/5058/2047/10509/64218,NCK2/CXCR4/EFNB2/EPHB2/PLXNC1/SEMA7A/PAK1/EPHB1/SEMA4B/SEMA4A,ENSG00000071051/ENSG00000121966/ENSG00000125266/ENSG00000133216/ENSG00000136040/ENSG00000138623/ENSG00000149269/ENSG00000154928/ENSG00000185033/ENSG00000196189
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_ENDOCYTOSIS,13,181,0.0718232044198895,0.4348138910740002,0.4086596720620303,10938/64411/7852/3559/116986/30011/8853/1234/3577/3579/161/155/3305,EHD1/ARAP3/CXCR4/IL2RA/AGAP2/SH3KBP1/ASAP2/CCR5/CXCR1/CXCR2/AP2A2/ADRB3/HSPA1L,ENSG00000110047/ENSG00000120318/ENSG00000121966/ENSG00000134460/ENSG00000135439/ENSG00000147010/ENSG00000151693/ENSG00000160791/ENSG00000163464/ENSG00000180871/ENSG00000183020/ENSG00000188778/ENSG00000204390
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,6,62,0.0967741935483871,0.4348138910740002,0.4086596720620303,6354/6347/9051/5603/3576/6357,CCL7/CCL2/PSTPIP1/MAPK13/CXCL8/CCL13,ENSG00000108688/ENSG00000108691/ENSG00000140368/ENSG00000156711/ENSG00000169429/ENSG00000181374
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,5,48,0.10416666666666667,0.451421970707544,0.4242687694619774,9020/7852/3695/940/3112,MAP3K14/CXCR4/ITGB7/CD28/HLA-DOB,ENSG00000006062/ENSG00000121966/ENSG00000139626/ENSG00000178562/ENSG00000241106
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,6,68,0.08823529411764706,0.5529086696109132,0.5196510052734148,9020/5058/5603/3577/3576/3579,MAP3K14/PAK1/MAPK13/CXCR1/CXCL8/CXCR2,ENSG00000006062/ENSG00000149269/ENSG00000156711/ENSG00000163464/ENSG00000169429/ENSG00000180871
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_ACUTE_MYELOID_LEUKEMIA,5,57,0.08771929824561403,0.724368642830908,0.6807975966455904,6932/11040/2322/5292/51176,TCF7/PIM2/FLT3/PIM1/LEF1,ENSG00000081059/ENSG00000102096/ENSG00000122025/ENSG00000137193/ENSG00000138795
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,7,96,0.07291666666666667,0.7746224685227977,0.7280286358296971,2213/5058/8853/653361/5579/65108/4082,FCGR2B/PAK1/ASAP2/NCF1/PRKCB/MARCKSL1/MARCKS,ENSG00000072694/ENSG00000149269/ENSG00000151693/ENSG00000158517/ENSG00000166501/ENSG00000175130/ENSG00000277443
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,6,77,0.07792207792207792,0.7746224685227977,0.7280286358296971,8527/1119/79143/84803/129642/162466,DGKD/CHKA/MBOAT7/GPAT3/MBOAT2/PHOSPHO1,ENSG00000077044/ENSG00000110721/ENSG00000125505/ENSG00000138678/ENSG00000143797/ENSG00000173868
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_NOTCH_SIGNALING_PATHWAY,4,47,0.0851063829787234,0.877894941408587,0.8250892306471683,2033/3955/3065/9612,EP300/LFNG/HDAC1/NCOR2,ENSG00000100393/ENSG00000106003/ENSG00000116478/ENSG00000196498
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_PATHWAYS_IN_CANCER,18,325,0.055384615384615386,0.877894941408587,0.8250892306471683,3674/3082/23604/6932/2033/4318/1021/81029/3065/2322/4149/7187/51176/8321/7039/5579/3576/1438,ITGA2B/HGF/DAPK2/TCF7/EP300/MMP9/CDK6/WNT5B/HDAC1/FLT3/MAX/TRAF3/LEF1/FZD1/TGFA/PRKCB/CXCL8/CSF2RA,ENSG00000005961/ENSG00000019991/ENSG00000035664/ENSG00000081059/ENSG00000100393/ENSG00000100985/ENSG00000105810/ENSG00000111186/ENSG00000116478/ENSG00000122025/ENSG00000125952/ENSG00000131323/ENSG00000138795/ENSG00000157240/ENSG00000163235/ENSG00000166501/ENSG00000169429/ENSG00000198223
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_ABC_TRANSPORTERS,2,44,0.045454545454545456,0.9658882221508651,0.9077896824726177,10058/23460,ABCB6/ABCA6,ENSG00000115657/ENSG00000154262
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_ADHERENS_JUNCTION,4,73,0.0547945205479452,0.9658882221508651,0.9077896824726177,7414/6932/2033/51176,VCL/TCF7/EP300/LEF1,ENSG00000035403/ENSG00000081059/ENSG00000100393/ENSG00000138795
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,3,42,0.07142857142857142,0.9658882221508651,0.9077896824726177,3290/5579/2810,HSD11B1/PRKCB/SFN,ENSG00000117594/ENSG00000166501/ENSG00000175793
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_ALLOGRAFT_REJECTION,2,37,0.05405405405405406,0.9658882221508651,0.9077896824726177,940/3112,CD28/HLA-DOB,ENSG00000178562/ENSG00000241106
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,1,19,0.05263157894736842,0.9658882221508651,0.9077896824726177,9415,FADS2,ENSG00000134824
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,1,53,0.018867924528301886,0.9658882221508651,0.9077896824726177,5603,MAPK13,ENSG00000156711
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,3,88,0.03409090909090909,0.9658882221508651,0.9077896824726177,5641/3305/3112,LGMN/HSPA1L/HLA-DOB,ENSG00000100600/ENSG00000204390/ENSG00000241106
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_APOPTOSIS,3,87,0.034482758620689655,0.9658882221508651,0.9077896824726177,9020/8794/5613,MAP3K14/TNFRSF10C/PRKX,ENSG00000006062/ENSG00000173535/ENSG00000183943
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_ARACHIDONIC_ACID_METABOLISM,4,58,0.06896551724137931,0.9658882221508651,0.9077896824726177,5742/2687/4051/4056,PTGS1/GGT5/CYP4F3/LTC4S,ENSG00000095303/ENSG00000099998/ENSG00000186529/ENSG00000213316
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_ARGININE_AND_PROLINE_METABOLISM,2,54,0.037037037037037035,0.9658882221508651,0.9077896824726177,26/79814,AOC1/AGMAT,ENSG00000002726/ENSG00000116771
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,4,74,0.05405405405405406,0.9658882221508651,0.9077896824726177,3674/6932/51176/3695,ITGA2B/TCF7/LEF1/ITGB7,ENSG00000005961/ENSG00000081059/ENSG00000138795/ENSG00000139626
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_ASTHMA,2,30,0.06666666666666667,0.9658882221508651,0.9077896824726177,2205/3112,FCER1A/HLA-DOB,ENSG00000179639/ENSG00000241106
C2,CP:KEGG,module_P337_BAL_EOS.pct_01,692,219,5245,KEGG_AUTOIMMUNE_THYROID_DISEASE,2,52,0.038461538461538464,0.9658882221508651,0.9077896824726177,940/3112,CD28/HLA-DOB,ENSG00000178562/ENSG00000241106
