category,subcategory,group,size.group,size.overlap.category,size.category,Description,size.overlap.term,size.term,k.K,p.adjust,qvalue,ENTREZIDs,SYMBOLs,ENSEMBLIDs
C2,CP,BAL_EOS.pct_01,692,478,11561,REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_,43,330,0.1303030303030303,2.098028363894014e-8,2.0575855385991113e-8,27334/6367/6361/6354/6347/3274/1889/729230/7852/5732/2867/59340/1910/1238/51738/5739/1234/165140/60675/3577/1230/5724/3576/1880/1901/2829/1240/9934/5029/2859/3579/6357/53829/11251/29933/1232/57121/2865/2359/155/1269/56670/140,P2RY10/CCL22/CCL17/CCL7/CCL2/HRH2/ECE1/CCR2/CXCR4/PTGER2/FFAR2/HRH4/EDNRB/ACKR2/GHRL/PTGIR/CCR5/OXER1/PROK2/CXCR1/CCR1/PTAFR/CXCL8/GPR183/S1PR1/XCR1/CMKLR1/P2RY14/P2RY2/GPR35/CXCR2/CCL13/P2RY13/PTGDR2/GPR132/CCR3/LPAR5/FFAR3/FPR3/ADRB3/CNR2/SUCNR1/ADORA3,ENSG00000078589/ENSG00000102962/ENSG00000102970/ENSG00000108688/ENSG00000108691/ENSG00000113749/ENSG00000117298/ENSG00000121807/ENSG00000121966/ENSG00000125384/ENSG00000126262/ENSG00000134489/ENSG00000136160/ENSG00000144648/ENSG00000157017/ENSG00000160013/ENSG00000160791/ENSG00000162881/ENSG00000163421/ENSG00000163464/ENSG00000163823/ENSG00000169403/ENSG00000169429/ENSG00000169508/ENSG00000170989/ENSG00000173578/ENSG00000174600/ENSG00000174944/ENSG00000175591/ENSG00000178623/ENSG00000180871/ENSG00000181374/ENSG00000181631/ENSG00000183134/ENSG00000183484/ENSG00000183625/ENSG00000184574/ENSG00000185897/ENSG00000187474/ENSG00000188778/ENSG00000188822/ENSG00000198829/ENSG00000282608
C2,CP,BAL_EOS.pct_01,692,478,11561,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,34,265,0.12830188679245283,1.5069437195258256e-6,1.477894988523487e-6,10344/3082/3604/84957/55540/4804/6367/6361/50615/6354/6347/7850/729230/7852/2322/8740/3559/8792/3455/3570/1234/3577/1230/4982/3576/8794/2829/23765/3579/6357/1232/1435/1438/4050,CCL26/HGF/TNFRSF9/RELT/IL17RB/NGFR/CCL22/CCL17/IL21R/CCL7/CCL2/IL1R2/CCR2/CXCR4/FLT3/TNFSF14/IL2RA/TNFRSF11A/IFNAR2/IL6R/CCR5/CXCR1/CCR1/TNFRSF11B/CXCL8/TNFRSF10C/XCR1/IL17RA/CXCR2/CCL13/CCR3/CSF1/CSF2RA/LTB,ENSG00000006606/ENSG00000019991/ENSG00000049249/ENSG00000054967/ENSG00000056736/ENSG00000064300/ENSG00000102962/ENSG00000102970/ENSG00000103522/ENSG00000108688/ENSG00000108691/ENSG00000115590/ENSG00000121807/ENSG00000121966/ENSG00000122025/ENSG00000125735/ENSG00000134460/ENSG00000141655/ENSG00000159110/ENSG00000160712/ENSG00000160791/ENSG00000163464/ENSG00000163823/ENSG00000164761/ENSG00000169429/ENSG00000173535/ENSG00000173578/ENSG00000177663/ENSG00000180871/ENSG00000181374/ENSG00000183625/ENSG00000184371/ENSG00000198223/ENSG00000227507
C2,CP,BAL_EOS.pct_01,692,478,11561,REACTOME_GPCR_LIGAND_BINDING,48,463,0.10367170626349892,1.5069437195258256e-6,1.477894988523487e-6,2696/27334/6367/6361/6354/6347/3274/1889/729230/7852/5732/2867/79924/59340/1910/1238/1392/133/51738/8321/5739/1234/165140/60675/3577/1230/5724/3576/1880/1901/2829/1240/9934/5029/2859/3579/6357/53829/11251/29933/1232/57121/2865/2359/155/1269/56670/140,GIPR/P2RY10/CCL22/CCL17/CCL7/CCL2/HRH2/ECE1/CCR2/CXCR4/PTGER2/FFAR2/ADM2/HRH4/EDNRB/ACKR2/CRH/ADM/GHRL/FZD1/PTGIR/CCR5/OXER1/PROK2/CXCR1/CCR1/PTAFR/CXCL8/GPR183/S1PR1/XCR1/CMKLR1/P2RY14/P2RY2/GPR35/CXCR2/CCL13/P2RY13/PTGDR2/GPR132/CCR3/LPAR5/FFAR3/FPR3/ADRB3/CNR2/SUCNR1/ADORA3,ENSG00000010310/ENSG00000078589/ENSG00000102962/ENSG00000102970/ENSG00000108688/ENSG00000108691/ENSG00000113749/ENSG00000117298/ENSG00000121807/ENSG00000121966/ENSG00000125384/ENSG00000126262/ENSG00000128165/ENSG00000134489/ENSG00000136160/ENSG00000144648/ENSG00000147571/ENSG00000148926/ENSG00000157017/ENSG00000157240/ENSG00000160013/ENSG00000160791/ENSG00000162881/ENSG00000163421/ENSG00000163464/ENSG00000163823/ENSG00000169403/ENSG00000169429/ENSG00000169508/ENSG00000170989/ENSG00000173578/ENSG00000174600/ENSG00000174944/ENSG00000175591/ENSG00000178623/ENSG00000180871/ENSG00000181374/ENSG00000181631/ENSG00000183134/ENSG00000183484/ENSG00000183625/ENSG00000184574/ENSG00000185897/ENSG00000187474/ENSG00000188778/ENSG00000188822/ENSG00000198829/ENSG00000282608
C2,CP,BAL_EOS.pct_01,692,478,11561,REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,15,58,0.25862068965517243,2.4874348437314447e-6,2.4394855907333727e-6,6367/6361/6354/6347/729230/7852/1238/1234/3577/1230/3576/2829/3579/6357/1232,CCL22/CCL17/CCL7/CCL2/CCR2/CXCR4/ACKR2/CCR5/CXCR1/CCR1/CXCL8/XCR1/CXCR2/CCL13/CCR3,ENSG00000102962/ENSG00000102970/ENSG00000108688/ENSG00000108691/ENSG00000121807/ENSG00000121966/ENSG00000144648/ENSG00000160791/ENSG00000163464/ENSG00000163823/ENSG00000169429/ENSG00000173578/ENSG00000180871/ENSG00000181374/ENSG00000183625
C2,CP,BAL_EOS.pct_01,692,478,11561,REACTOME_NEUTROPHIL_DEGRANULATION,44,479,0.0918580375782881,1.2471525008209415e-4,1.2231116577251947e-4,26/4353/8993/64386/55/7414/1265/4318/83716/9545/51411/25797/11240/4033/64333/22918/10875/272/6947/10970/5547/53831/54509/7226/127829/932/101/978/23218/3577/11314/6036/5724/116844/94103/326624/353189/23526/3579/222487/161/6402/401258/8972,AOC1/MPO/PGLYRP1/MMP25/ACPP/VCL/CNN2/MMP9/CRISPLD2/RAB3D/BIN2/QPCT/PADI2/LRMP/ARHGAP9/CD93/FGL2/AMPD3/TCN1/CKAP4/PRCP/GPR84/RHOF/TRPM2/ARL8A/MS4A3/ADAM8/CDA/NBEAL2/CXCR1/CD300A/RNASE2/PTAFR/LRG1/ORMDL3/RAB37/SLCO4C1/ARHGAP45/CXCR2/ADGRG3/AP2A2/SELL/RAB44/MGAM,ENSG00000002726/ENSG00000005381/ENSG00000008438/ENSG00000008516/ENSG00000014257/ENSG00000035403/ENSG00000064666/ENSG00000100985/ENSG00000103196/ENSG00000105514/ENSG00000110934/ENSG00000115828/ENSG00000117115/ENSG00000118308/ENSG00000123329/ENSG00000125810/ENSG00000127951/ENSG00000133805/ENSG00000134827/ENSG00000136026/ENSG00000137509/ENSG00000139572/ENSG00000139725/ENSG00000142185/ENSG00000143862/ENSG00000149516/ENSG00000151651/ENSG00000158825/ENSG00000160796/ENSG00000163464/ENSG00000167851/ENSG00000169385/ENSG00000169403/ENSG00000171236/ENSG00000172057/ENSG00000172794/ENSG00000173930/ENSG00000180448/ENSG00000180871/ENSG00000182885/ENSG00000183020/ENSG00000188404/ENSG00000255587/ENSG00000257335
C2,CP,BAL_EOS.pct_01,692,478,11561,REACTOME_INTERLEUKIN_10_SIGNALING,10,46,0.21739130434782608,0.0028678030053462403,0.002812521552568287,6367/2208/6347/7850/729230/1234/1230/5724/3576/1435,CCL22/FCER2/CCL2/IL1R2/CCR2/CCR5/CCR1/PTAFR/CXCL8/CSF1,ENSG00000102962/ENSG00000104921/ENSG00000108691/ENSG00000115590/ENSG00000121807/ENSG00000160791/ENSG00000163823/ENSG00000169403/ENSG00000169429/ENSG00000184371
C2,CP,BAL_EOS.pct_01,692,478,11561,KEGG_CHEMOKINE_SIGNALING_PATHWAY,21,189,0.1111111111111111,0.006136601914839576,0.006018309177039983,10344/5829/6367/6361/6354/6347/729230/7852/5330/5058/653361/1234/3577/1230/5579/3576/2829/3579/6357/1232/5613,CCL26/PXN/CCL22/CCL17/CCL7/CCL2/CCR2/CXCR4/PLCB2/PAK1/NCF1/CCR5/CXCR1/CCR1/PRKCB/CXCL8/XCR1/CXCR2/CCL13/CCR3/PRKX,ENSG00000006606/ENSG00000089159/ENSG00000102962/ENSG00000102970/ENSG00000108688/ENSG00000108691/ENSG00000121807/ENSG00000121966/ENSG00000137841/ENSG00000149269/ENSG00000158517/ENSG00000160791/ENSG00000163464/ENSG00000163823/ENSG00000166501/ENSG00000169429/ENSG00000173578/ENSG00000180871/ENSG00000181374/ENSG00000183625/ENSG00000183943
C2,CP,BAL_EOS.pct_01,692,478,11561,REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,21,191,0.1099476439790576,0.006281860074998303,0.0061607672557055055,2213/3385/11024/27181/56654/79865/29990/3695/89790/909/911/910/120425/114836/131450/11314/124599/339390/11006/6402/23547,FCGR2B/ICAM3/LILRA1/SIGLEC8/NPDC1/TREML2/PILRB/ITGB7/SIGLEC10/CD1A/CD1C/CD1B/JAML/SLAMF6/CD200R1/CD300A/CD300LB/CLEC4G/LILRB4/SELL/LILRA4,ENSG00000072694/ENSG00000076662/ENSG00000104974/ENSG00000105366/ENSG00000107281/ENSG00000112195/ENSG00000121716/ENSG00000139626/ENSG00000142512/ENSG00000158477/ENSG00000158481/ENSG00000158485/ENSG00000160593/ENSG00000162739/ENSG00000163606/ENSG00000167851/ENSG00000178789/ENSG00000182566/ENSG00000186818/ENSG00000188404/ENSG00000239961
C2,CP,BAL_EOS.pct_01,692,478,11561,PID_INTEGRIN_A9B1_PATHWAY,7,25,0.28,0.006702420623091848,0.006573220832003441,5829/6696/2162/8751/101/3772/1438,PXN/SPP1/F13A1/ADAM15/ADAM8/KCNJ15/CSF2RA,ENSG00000089159/ENSG00000118785/ENSG00000124491/ENSG00000143537/ENSG00000151651/ENSG00000157551/ENSG00000198223
C2,CP,BAL_EOS.pct_01,692,478,11561,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,6,22,0.2727272727272727,0.020766711839047724,0.020366400521379273,64131/22856/55790/50515/166012/51363,XYLT1/CHSY1/CSGALNACT1/CHST11/CHST13/CHST15,ENSG00000103489/ENSG00000131873/ENSG00000147408/ENSG00000171310/ENSG00000180767/ENSG00000182022
