category,subcategory,group,size.group,size.overlap.category,size.category,Description,size.overlap.term,size.term,k.K,p.adjust,qvalue,ENTREZIDs,SYMBOLs,ENSEMBLIDs
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_CYTOKINE_RECEPTOR_ACTIVITY,21,97,0.21649484536082475,1.699360031256142e-8,1.6009116841216513e-8,55540/50615/7850/9173/729230/7852/2322/3559/1238/3455/3570/1234/3577/1230/2829/1240/23765/2859/3579/1232/1438,IL17RB/IL21R/IL1R2/IL1RL1/CCR2/CXCR4/FLT3/IL2RA/ACKR2/IFNAR2/IL6R/CCR5/CXCR1/CCR1/XCR1/CMKLR1/IL17RA/GPR35/CXCR2/CCR3/CSF2RA,ENSG00000056736/ENSG00000103522/ENSG00000115590/ENSG00000115602/ENSG00000121807/ENSG00000121966/ENSG00000122025/ENSG00000134460/ENSG00000144648/ENSG00000159110/ENSG00000160712/ENSG00000160791/ENSG00000163464/ENSG00000163823/ENSG00000173578/ENSG00000174600/ENSG00000177663/ENSG00000178623/ENSG00000180871/ENSG00000183625/ENSG00000198223
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_IMMUNE_RECEPTOR_ACTIVITY,25,135,0.18518518518518517,1.699360031256142e-8,1.6009116841216513e-8,55540/2213/50615/7850/9173/729230/7852/2322/3559/1238/3455/3570/1234/3577/131450/1230/2829/1240/23765/2859/3579/1232/2359/1438/3112,IL17RB/FCGR2B/IL21R/IL1R2/IL1RL1/CCR2/CXCR4/FLT3/IL2RA/ACKR2/IFNAR2/IL6R/CCR5/CXCR1/CD200R1/CCR1/XCR1/CMKLR1/IL17RA/GPR35/CXCR2/CCR3/FPR3/CSF2RA/HLA-DOB,ENSG00000056736/ENSG00000072694/ENSG00000103522/ENSG00000115590/ENSG00000115602/ENSG00000121807/ENSG00000121966/ENSG00000122025/ENSG00000134460/ENSG00000144648/ENSG00000159110/ENSG00000160712/ENSG00000160791/ENSG00000163464/ENSG00000163606/ENSG00000163823/ENSG00000173578/ENSG00000174600/ENSG00000177663/ENSG00000178623/ENSG00000180871/ENSG00000183625/ENSG00000187474/ENSG00000198223/ENSG00000241106
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_G_PROTEIN_COUPLED_CHEMOATTRACTANT_RECEPTOR_ACTIVITY,11,26,0.4230769230769231,1.8783701045187556e-7,1.7695512381835155e-7,729230/7852/1238/1234/3577/1230/2829/1240/2859/3579/1232,CCR2/CXCR4/ACKR2/CCR5/CXCR1/CCR1/XCR1/CMKLR1/GPR35/CXCR2/CCR3,ENSG00000121807/ENSG00000121966/ENSG00000144648/ENSG00000160791/ENSG00000163464/ENSG00000163823/ENSG00000173578/ENSG00000174600/ENSG00000178623/ENSG00000180871/ENSG00000183625
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_C_C_CHEMOKINE_BINDING,9,24,0.375,1.7875221884474093e-5,1.683966378211721e-5,729230/7852/1238/1234/3577/1230/2829/3579/1232,CCR2/CXCR4/ACKR2/CCR5/CXCR1/CCR1/XCR1/CXCR2/CCR3,ENSG00000121807/ENSG00000121966/ENSG00000144648/ENSG00000160791/ENSG00000163464/ENSG00000163823/ENSG00000173578/ENSG00000180871/ENSG00000183625
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_CHEMOKINE_BINDING,9,33,0.2727272727272727,3.1232604955276123e-4,2.9423218905235516e-4,729230/7852/1238/1234/3577/1230/2829/3579/1232,CCR2/CXCR4/ACKR2/CCR5/CXCR1/CCR1/XCR1/CXCR2/CCR3,ENSG00000121807/ENSG00000121966/ENSG00000144648/ENSG00000160791/ENSG00000163464/ENSG00000163823/ENSG00000173578/ENSG00000180871/ENSG00000183625
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_ACTIVITY,6,14,0.42857142857142855,7.013806041109884e-4,6.60747801222317e-4,27334/5724/9934/5029/53829/286530,P2RY10/PTAFR/P2RY14/P2RY2/P2RY13/P2RY8,ENSG00000078589/ENSG00000169403/ENSG00000174944/ENSG00000175591/ENSG00000181631/ENSG00000182162
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_CYTOKINE_BINDING,16,135,0.11851851851851852,0.004221055027049512,0.003976518329155314,3604/7850/9173/729230/7852/3559/8792/1238/3570/1234/3577/1230/2829/3579/1232/1438,TNFRSF9/IL1R2/IL1RL1/CCR2/CXCR4/IL2RA/TNFRSF11A/ACKR2/IL6R/CCR5/CXCR1/CCR1/XCR1/CXCR2/CCR3/CSF2RA,ENSG00000049249/ENSG00000115590/ENSG00000115602/ENSG00000121807/ENSG00000121966/ENSG00000134460/ENSG00000141655/ENSG00000144648/ENSG00000160712/ENSG00000160791/ENSG00000163464/ENSG00000163823/ENSG00000173578/ENSG00000180871/ENSG00000183625/ENSG00000198223
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_NUCLEOTIDE_RECEPTOR_ACTIVITY,6,21,0.2857142857142857,0.007603605979158076,0.007163109305621088,27334/5724/9934/5029/53829/286530,P2RY10/PTAFR/P2RY14/P2RY2/P2RY13/P2RY8,ENSG00000078589/ENSG00000169403/ENSG00000174944/ENSG00000175591/ENSG00000181631/ENSG00000182162
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_LIPOPEPTIDE_BINDING,4,10,0.4,0.025824845685345023,0.024328745196947527,909/911/910/913,CD1A/CD1C/CD1B/CD1E,ENSG00000158477/ENSG00000158481/ENSG00000158485/ENSG00000158488
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_PEPTIDE_RECEPTOR_ACTIVITY,15,152,0.09868421052631579,0.03871460655824157,0.03647176869250474,2696/729230/7852/1910/53831/1238/1234/3577/1230/2829/1240/2859/3579/1232/2359,GIPR/CCR2/CXCR4/EDNRB/GPR84/ACKR2/CCR5/CXCR1/CCR1/XCR1/CMKLR1/GPR35/CXCR2/CCR3/FPR3,ENSG00000010310/ENSG00000121807/ENSG00000121966/ENSG00000136160/ENSG00000139572/ENSG00000144648/ENSG00000160791/ENSG00000163464/ENSG00000163823/ENSG00000173578/ENSG00000174600/ENSG00000178623/ENSG00000180871/ENSG00000183625/ENSG00000187474
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_SULFOTRANSFERASE_ACTIVITY,8,52,0.15384615384615385,0.03950899806256597,0.037220139030543026,9957/9956/9953/50515/9435/166012/51363/79690,HS3ST1/HS3ST2/HS3ST3B1/CHST11/CHST2/CHST13/CHST15/GAL3ST4,ENSG00000002587/ENSG00000122254/ENSG00000125430/ENSG00000171310/ENSG00000175040/ENSG00000180767/ENSG00000182022/ENSG00000197093
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY,5,20,0.25,0.039737794560078823,0.037435680751789525,1154/116986/9021/8651/146850,CISH/AGAP2/SOCS3/SOCS1/PIK3R6,ENSG00000114737/ENSG00000135439/ENSG00000184557/ENSG00000185338/ENSG00000276231
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_CYSTEINE_TYPE_ENDOPEPTIDASE_REGULATOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS,7,43,0.16279069767441862,0.05147414696951398,0.04849211573652056,489/8740/51176/91662/6622/5272/2621,ATP2A3/TNFSF14/LEF1/NLRP12/SNCA/SERPINB9/GAS6,ENSG00000074370/ENSG00000125735/ENSG00000138795/ENSG00000142405/ENSG00000145335/ENSG00000170542/ENSG00000183087
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_CCR_CHEMOKINE_RECEPTOR_BINDING,7,46,0.15217391304347827,0.0721049510153341,0.06792772363731588,10344/6367/6361/6354/6347/729230/6357,CCL26/CCL22/CCL17/CCL7/CCL2/CCR2/CCL13,ENSG00000006606/ENSG00000102962/ENSG00000102970/ENSG00000108688/ENSG00000108691/ENSG00000121807/ENSG00000181374
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_1_ACYLGLYCEROL_3_PHOSPHATE_O_ACYLTRANSFERASE_ACTIVITY,4,15,0.26666666666666666,0.08140238519197403,0.07668653326680477,79143/84803/129642/55326,MBOAT7/GPAT3/MBOAT2/AGPAT5,ENSG00000125505/ENSG00000138678/ENSG00000143797/ENSG00000155189
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_CHEMOKINE_ACTIVITY,7,48,0.14583333333333334,0.08140238519197403,0.07668653326680477,10344/6367/6361/6354/6347/3576/6357,CCL26/CCL22/CCL17/CCL7/CCL2/CXCL8/CCL13,ENSG00000006606/ENSG00000102962/ENSG00000102970/ENSG00000108688/ENSG00000108691/ENSG00000169429/ENSG00000181374
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS,5,25,0.2,0.08241172348531685,0.07763739796723526,8740/51176/6622/5272/2621,TNFSF14/LEF1/SNCA/SERPINB9/GAS6,ENSG00000125735/ENSG00000138795/ENSG00000145335/ENSG00000170542/ENSG00000183087
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY,4,16,0.25,0.0936271322566991,0.0882030689339899,1154/9021/8651/146850,CISH/SOCS3/SOCS1/PIK3R6,ENSG00000114737/ENSG00000184557/ENSG00000185338/ENSG00000276231
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_INTEGRIN_BINDING,13,144,0.09027777777777778,0.10361316858985194,0.0976105882058128,11188/3385/5829/2208/7060/6696/85329/4856/11117/8482/3695/8751/120425,NISCH/ICAM3/PXN/FCER2/THBS4/SPP1/LGALS12/CCN3/EMILIN1/SEMA7A/ITGB7/ADAM15/JAML,ENSG00000010322/ENSG00000076662/ENSG00000089159/ENSG00000104921/ENSG00000113296/ENSG00000118785/ENSG00000133317/ENSG00000136999/ENSG00000138080/ENSG00000138623/ENSG00000139626/ENSG00000143537/ENSG00000160593
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_PHOSPHOLIPASE_C_ACTIVITY,5,28,0.17857142857142858,0.11819185935185815,0.11134469748861153,5330/81544/1234/113026/1230,PLCB2/GDPD5/CCR5/PLCD3/CCR1,ENSG00000137841/ENSG00000158555/ENSG00000160791/ENSG00000161714/ENSG00000163823
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_CHEMOKINE_RECEPTOR_BINDING,8,69,0.11594202898550725,0.1264052858083604,0.11908229878500595,10344/6367/6361/6354/6347/729230/3576/6357,CCL26/CCL22/CCL17/CCL7/CCL2/CCR2/CXCL8/CCL13,ENSG00000006606/ENSG00000102962/ENSG00000102970/ENSG00000108688/ENSG00000108691/ENSG00000121807/ENSG00000169429/ENSG00000181374
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_KINASE_INHIBITOR_ACTIVITY,8,69,0.11594202898550725,0.1264052858083604,0.11908229878500595,54997/5570/10253/6622/54920/2810/9021/8651,TESC/PKIB/SPRY2/SNCA/DUS2/SFN/SOCS3/SOCS1,ENSG00000088992/ENSG00000135549/ENSG00000136158/ENSG00000145335/ENSG00000167264/ENSG00000175793/ENSG00000184557/ENSG00000185338
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_TRANSFERASE_ACTIVITY_TRANSFERRING_SULFUR_CONTAINING_GROUPS,8,70,0.11428571428571428,0.13217145178795728,0.12451441576994991,9957/9956/9953/50515/9435/166012/51363/79690,HS3ST1/HS3ST2/HS3ST3B1/CHST11/CHST2/CHST13/CHST15/GAL3ST4,ENSG00000002587/ENSG00000122254/ENSG00000125430/ENSG00000171310/ENSG00000175040/ENSG00000180767/ENSG00000182022/ENSG00000197093
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_LYSOPHOSPHOLIPID_ACYLTRANSFERASE_ACTIVITY,4,19,0.21052631578947367,0.13686102477322232,0.12893230959325147,79143/84803/129642/55326,MBOAT7/GPAT3/MBOAT2/AGPAT5,ENSG00000125505/ENSG00000138678/ENSG00000143797/ENSG00000155189
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_AROMATIC_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,3,10,0.3,0.1409868467703694,0.1328191119896551,92745/8140/6541,SLC38A5/SLC7A5/SLC7A1,ENSG00000017483/ENSG00000103257/ENSG00000139514
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_CARBOHYDRATE_BINDING,19,267,0.07116104868913857,0.14448915268903478,0.13611852021594795,9902/55214/30835/2208/1178/27181/50489/22918/10462/85329/6652/2589/89790/130589/433/339390/388512/6402/8972,MRC2/P3H2/CD209/FCER2/CLC/SIGLEC8/CD207/CD93/CLEC10A/LGALS12/SORD/GALNT1/SIGLEC10/GALM/ASGR2/CLEC4G/CLEC17A/SELL/MGAM,ENSG00000011028/ENSG00000090530/ENSG00000090659/ENSG00000104921/ENSG00000105205/ENSG00000105366/ENSG00000116031/ENSG00000125810/ENSG00000132514/ENSG00000133317/ENSG00000140263/ENSG00000141429/ENSG00000142512/ENSG00000143891/ENSG00000161944/ENSG00000182566/ENSG00000187912/ENSG00000188404/ENSG00000257335
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_G_PROTEIN_COUPLED_RECEPTOR_BINDING,20,292,0.0684931506849315,0.14448915268903478,0.13611852021594795,10344/9454/6367/6361/6354/6347/81029/5144/729230/1910/2774/1392/133/7345/51738/8321/60675/3576/1901/6357,CCL26/HOMER3/CCL22/CCL17/CCL7/CCL2/WNT5B/PDE4D/CCR2/EDNRB/GNAL/CRH/ADM/UCHL1/GHRL/FZD1/PROK2/CXCL8/S1PR1/CCL13,ENSG00000006606/ENSG00000051128/ENSG00000102962/ENSG00000102970/ENSG00000108688/ENSG00000108691/ENSG00000111186/ENSG00000113448/ENSG00000121807/ENSG00000136160/ENSG00000141404/ENSG00000147571/ENSG00000148926/ENSG00000154277/ENSG00000157017/ENSG00000157240/ENSG00000163421/ENSG00000169429/ENSG00000170989/ENSG00000181374
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_LINEAR_AMIDINES,3,11,0.2727272727272727,0.14448915268903478,0.13611852021594795,79814/11240/23569,AGMAT/PADI2/PADI4,ENSG00000116771/ENSG00000117115/ENSG00000159339
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_KINASE_REGULATOR_ACTIVITY,16,216,0.07407407407407407,0.14448915268903478,0.13611852021594795,54997/8115/54757/1154/894/116986/5570/10253/6622/51738/54920/2810/2621/9021/8651/146850,TESC/TCL1A/FAM20A/CISH/CCND2/AGAP2/PKIB/SPRY2/SNCA/GHRL/DUS2/SFN/GAS6/SOCS3/SOCS1/PIK3R6,ENSG00000088992/ENSG00000100721/ENSG00000108950/ENSG00000114737/ENSG00000118971/ENSG00000135439/ENSG00000135549/ENSG00000136158/ENSG00000145335/ENSG00000157017/ENSG00000167264/ENSG00000175793/ENSG00000183087/ENSG00000184557/ENSG00000185338/ENSG00000276231
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_L_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,7,59,0.11864406779661017,0.14448915268903478,0.13611852021594795,92745/1497/9057/8140/6541/8501/94081,SLC38A5/CTNS/SLC7A6/SLC7A5/SLC7A1/SLC43A1/SFXN1,ENSG00000017483/ENSG00000040531/ENSG00000103064/ENSG00000103257/ENSG00000139514/ENSG00000149150/ENSG00000164466
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_METALLOENDOPEPTIDASE_ACTIVITY,10,108,0.09259259259259259,0.14448915268903478,0.13611852021594795,64386/10863/4318/5251/1889/8728/4316/8751/101/4321,MMP25/ADAM28/MMP9/PHEX/ECE1/ADAM19/MMP7/ADAM15/ADAM8/MMP12,ENSG00000008516/ENSG00000042980/ENSG00000100985/ENSG00000102174/ENSG00000117298/ENSG00000135074/ENSG00000137673/ENSG00000143537/ENSG00000151651/ENSG00000262406
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_PHOSPHOLIPASE_ACTIVITY,10,106,0.09433962264150944,0.14448915268903478,0.13611852021594795,55512/1178/58986/5330/7941/81544/1234/113026/1230/117245,SMPD3/CLC/PGAP6/PLCB2/PLA2G7/GDPD5/CCR5/PLCD3/CCR1/PLAAT5,ENSG00000103056/ENSG00000105205/ENSG00000129925/ENSG00000137841/ENSG00000146070/ENSG00000158555/ENSG00000160791/ENSG00000161714/ENSG00000163823/ENSG00000168004
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_PHOSPHOLIPID_BINDING,28,454,0.06167400881057269,0.14448915268903478,0.13611852021594795,115703/11188/55353/51411/55686/64411/64333/57699/3092/3512/8291/8416/6622/7941/4900/79856/5051/653361/2035/124460/11314/54899/5724/10125/2621/53373/285180/653145,ARHGAP33/NISCH/LAPTM4B/BIN2/MREG/ARAP3/ARHGAP9/CPNE5/HIP1/JCHAIN/DYSF/ANXA9/SNCA/PLA2G7/NRGN/SNX22/PAFAH2/NCF1/EPB41/SNX20/CD300A/PXK/PTAFR/RASGRP1/GAS6/TPCN1/RUFY4/ANXA8,ENSG00000004777/ENSG00000010322/ENSG00000104341/ENSG00000110934/ENSG00000118242/ENSG00000120318/ENSG00000123329/ENSG00000124772/ENSG00000127946/ENSG00000132465/ENSG00000135636/ENSG00000143412/ENSG00000145335/ENSG00000146070/ENSG00000154146/ENSG00000157734/ENSG00000158006/ENSG00000158517/ENSG00000159023/ENSG00000167208/ENSG00000167851/ENSG00000168297/ENSG00000169403/ENSG00000172575/ENSG00000183087/ENSG00000186815/ENSG00000188282/ENSG00000265190
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_PROSTANOID_RECEPTOR_ACTIVITY,3,11,0.2727272727272727,0.14448915268903478,0.13611852021594795,5732/5739/11251,PTGER2/PTGIR/PTGDR2,ENSG00000125384/ENSG00000160013/ENSG00000183134
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_INWARD_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY,4,22,0.18181818181818182,0.16215033341880913,0.15275654280423973,3757/9424/3764/3772,KCNH2/KCNK6/KCNJ8/KCNJ15,ENSG00000055118/ENSG00000099337/ENSG00000121361/ENSG00000157551
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY,4,23,0.17391304347826086,0.18464860480509895,0.17395143080465214,79143/84803/129642/55326,MBOAT7/GPAT3/MBOAT2/AGPAT5,ENSG00000125505/ENSG00000138678/ENSG00000143797/ENSG00000155189
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_LIPASE_ACTIVITY,11,131,0.08396946564885496,0.18464860480509895,0.17395143080465214,55512/1178/58986/5330/7941/81544/1234/113026/1230/221955/117245,SMPD3/CLC/PGAP6/PLCB2/PLA2G7/GDPD5/CCR5/PLCD3/CCR1/DAGLB/PLAAT5,ENSG00000103056/ENSG00000105205/ENSG00000129925/ENSG00000137841/ENSG00000146070/ENSG00000158555/ENSG00000160791/ENSG00000161714/ENSG00000163823/ENSG00000164535/ENSG00000168004
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_E_BOX_BINDING,6,50,0.12,0.18638182510900886,0.17558424114775237,3065/4149/406/6935/6886/6925,HDAC1/MAX/ARNTL/ZEB1/TAL1/TCF4,ENSG00000116478/ENSG00000125952/ENSG00000133794/ENSG00000148516/ENSG00000162367/ENSG00000196628
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_STEROID_HORMONE_RECEPTOR_BINDING,8,81,0.09876543209876543,0.18638182510900886,0.17558424114775237,2033/11240/2322/55809/51176/5579/167465/9612,EP300/PADI2/FLT3/TRERF1/LEF1/PRKCB/ZNF366/NCOR2,ENSG00000100393/ENSG00000117115/ENSG00000122025/ENSG00000124496/ENSG00000138795/ENSG00000166501/ENSG00000178175/ENSG00000196498
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_IMMUNOGLOBULIN_BINDING,4,24,0.16666666666666666,0.19436347154194475,0.18310349004027207,2213/2208/3512/2205,FCGR2B/FCER2/JCHAIN/FCER1A,ENSG00000072694/ENSG00000104921/ENSG00000132465/ENSG00000179639
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_NUCLEAR_RECEPTOR_BINDING,9,101,0.0891089108910891,0.2203103956551301,0.20754724134417407,2033/11240/2322/55809/51176/5579/5916/167465/9612,EP300/PADI2/FLT3/TRERF1/LEF1/PRKCB/RARG/ZNF366/NCOR2,ENSG00000100393/ENSG00000117115/ENSG00000122025/ENSG00000124496/ENSG00000138795/ENSG00000166501/ENSG00000172819/ENSG00000178175/ENSG00000196498
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_CYTOKINE_ACTIVITY,16,234,0.06837606837606838,0.23978741816527863,0.22589590927497663,10344/6367/6361/6354/6347/81029/6696/8740/146225/4982/3576/152189/6357/1435/284415/4050,CCL26/CCL22/CCL17/CCL7/CCL2/WNT5B/SPP1/TNFSF14/CMTM2/TNFRSF11B/CXCL8/CMTM8/CCL13/CSF1/VSTM1/LTB,ENSG00000006606/ENSG00000102962/ENSG00000102970/ENSG00000108688/ENSG00000108691/ENSG00000111186/ENSG00000118785/ENSG00000125735/ENSG00000140932/ENSG00000164761/ENSG00000169429/ENSG00000170293/ENSG00000181374/ENSG00000184371/ENSG00000189068/ENSG00000227507
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_C2H2_ZINC_FINGER_DOMAIN_BINDING,3,15,0.2,0.25295135123013823,0.2382972214542158,2623/51176/2624,GATA1/LEF1/GATA2,ENSG00000102145/ENSG00000138795/ENSG00000179348
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_ENZYME_INHIBITOR_ACTIVITY,23,381,0.06036745406824147,0.25295135123013823,0.2382972214542158,259282/54997/7078/5054/1294/6242/5266/8740/5570/10253/51176/5045/8416/6622/6690/54920/94274/5272/1474/2810/2621/9021/8651,BOD1L1/TESC/TIMP3/SERPINE1/COL7A1/RTKN/PI3/TNFSF14/PKIB/SPRY2/LEF1/FURIN/ANXA9/SNCA/SPINK1/DUS2/PPP1R14A/SERPINB9/CST6/SFN/GAS6/SOCS3/SOCS1,ENSG00000038219/ENSG00000088992/ENSG00000100234/ENSG00000106366/ENSG00000114270/ENSG00000114993/ENSG00000124102/ENSG00000125735/ENSG00000135549/ENSG00000136158/ENSG00000138795/ENSG00000140564/ENSG00000143412/ENSG00000145335/ENSG00000164266/ENSG00000167264/ENSG00000167641/ENSG00000170542/ENSG00000175315/ENSG00000175793/ENSG00000183087/ENSG00000184557/ENSG00000185338
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_HEPARAN_SULFATE_SULFOTRANSFERASE_ACTIVITY,3,15,0.2,0.25295135123013823,0.2382972214542158,9957/9956/9953,HS3ST1/HS3ST2/HS3ST3B1,ENSG00000002587/ENSG00000122254/ENSG00000125430
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_ICOSANOID_RECEPTOR_ACTIVITY,3,15,0.2,0.25295135123013823,0.2382972214542158,5732/5739/11251,PTGER2/PTGIR/PTGDR2,ENSG00000125384/ENSG00000160013/ENSG00000183134
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_PHOSPHORIC_DIESTER_HYDROLASE_ACTIVITY,8,89,0.0898876404494382,0.2574021991106426,0.2424902201390681,55512/5144/5330/81544/1234/113026/1230/257068,SMPD3/PDE4D/PLCB2/GDPD5/CCR5/PLCD3/CCR1/PLCXD2,ENSG00000103056/ENSG00000113448/ENSG00000137841/ENSG00000158555/ENSG00000160791/ENSG00000161714/ENSG00000163823/ENSG00000240891
C5,GO:MF,module_P337_BAL_EOS.pct_01,692,589,15813,GO_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_BINDING,6,56,0.10714285714285714,0.2574021991106426,0.2424902201390681,2033/2623/3065/6886/8328/3059,EP300/GATA1/HDAC1/TAL1/GFI1B/HCLS1,ENSG00000100393/ENSG00000102145/ENSG00000116478/ENSG00000162367/ENSG00000165702/ENSG00000180353
