category,subcategory,group,size.group,size.overlap.category,size.category,Description,size.overlap.term,size.term,k.K,p.adjust,qvalue,ENTREZIDs,SYMBOLs,ENSEMBLIDs
H,,module_P337_BAL_EOS.pct_01,692,206,4383,HALLMARK_ALLOGRAFT_REJECTION,26,200,0.13,6.73444647698638e-5,5.393721434657284e-5,23166/2213/2533/4318/6367/973/6354/6347/7903/894/729230/3559/3662/6775/2589/3455/1234/1230/5579/940/3059/6357/1435/8651/4050/3112,STAB1/FCGR2B/FYB1/MMP9/CCL22/CD79A/CCL7/CCL2/ST8SIA4/CCND2/CCR2/IL2RA/IRF4/STAT4/GALNT1/IFNAR2/CCR5/CCR1/PRKCB/CD28/HCLS1/CCL13/CSF1/SOCS1/LTB/HLA-DOB,ENSG00000010327/ENSG00000072694/ENSG00000082074/ENSG00000100985/ENSG00000102962/ENSG00000105369/ENSG00000108688/ENSG00000108691/ENSG00000113532/ENSG00000118971/ENSG00000121807/ENSG00000134460/ENSG00000137265/ENSG00000138378/ENSG00000141429/ENSG00000159110/ENSG00000160791/ENSG00000163823/ENSG00000166501/ENSG00000178562/ENSG00000180353/ENSG00000181374/ENSG00000184371/ENSG00000185338/ENSG00000227507/ENSG00000241106
H,,module_P337_BAL_EOS.pct_01,692,206,4383,HALLMARK_INFLAMMATORY_RESPONSE,25,200,0.125,1.1282783006365649e-4,9.03655389525853e-5,23166/3604/6367/6361/5054/6354/6347/5732/2867/5791/6541/133/7832/5739/60675/5724/3576/1880/10125/1240/9435/5029/29933/1435/6402,STAB1/TNFRSF9/CCL22/CCL17/SERPINE1/CCL7/CCL2/PTGER2/FFAR2/PTPRE/SLC7A1/ADM/BTG2/PTGIR/PROK2/PTAFR/CXCL8/GPR183/RASGRP1/CMKLR1/CHST2/P2RY2/GPR132/CSF1/SELL,ENSG00000010327/ENSG00000049249/ENSG00000102962/ENSG00000102970/ENSG00000106366/ENSG00000108688/ENSG00000108691/ENSG00000125384/ENSG00000126262/ENSG00000132334/ENSG00000139514/ENSG00000148926/ENSG00000159388/ENSG00000160013/ENSG00000163421/ENSG00000169403/ENSG00000169429/ENSG00000169508/ENSG00000172575/ENSG00000174600/ENSG00000175040/ENSG00000175591/ENSG00000183484/ENSG00000184371/ENSG00000188404
H,,module_P337_BAL_EOS.pct_01,692,206,4383,HALLMARK_IL2_STAT5_SIGNALING,22,199,0.11055276381909548,0.0019502436371246741,0.0015619800297337208,3604/2623/1154/7850/9173/6696/894/5732/10875/23075/3559/8728/10970/5292/3662/5045/7371/130589/1435/8651/6402/4050,TNFRSF9/GATA1/CISH/IL1R2/IL1RL1/SPP1/CCND2/PTGER2/FGL2/SWAP70/IL2RA/ADAM19/CKAP4/PIM1/IRF4/FURIN/UCK2/GALM/CSF1/SOCS1/SELL/LTB,ENSG00000049249/ENSG00000102145/ENSG00000114737/ENSG00000115590/ENSG00000115602/ENSG00000118785/ENSG00000118971/ENSG00000125384/ENSG00000127951/ENSG00000133789/ENSG00000134460/ENSG00000135074/ENSG00000136026/ENSG00000137193/ENSG00000137265/ENSG00000140564/ENSG00000143179/ENSG00000143891/ENSG00000184371/ENSG00000185338/ENSG00000188404/ENSG00000227507
H,,module_P337_BAL_EOS.pct_01,692,206,4383,HALLMARK_ESTROGEN_RESPONSE_EARLY,21,200,0.105,0.0043108056045448335,0.0034525903011228647,55540/6196/8140/1154/55686/60436/23030/863/55793/8416/64798/22836/399665/9022/10125/5029/2810/1960/57419/9612/9060,IL17RB/RPS6KA2/SLC7A5/CISH/MREG/TGIF2/KDM4B/CBFA2T3/MINDY1/ANXA9/DEPTOR/RHOBTB3/FAM102A/CLIC3/RASGRP1/P2RY2/SFN/EGR3/SLC24A3/NCOR2/PAPSS2,ENSG00000056736/ENSG00000071242/ENSG00000103257/ENSG00000114737/ENSG00000118242/ENSG00000118707/ENSG00000127663/ENSG00000129993/ENSG00000143409/ENSG00000143412/ENSG00000155792/ENSG00000164292/ENSG00000167106/ENSG00000169583/ENSG00000172575/ENSG00000175591/ENSG00000175793/ENSG00000179388/ENSG00000185052/ENSG00000196498/ENSG00000198682
H,,module_P337_BAL_EOS.pct_01,692,206,4383,HALLMARK_IL6_JAK_STAT3_SIGNALING,12,87,0.13793103448275862,0.005072567863154924,0.00406269737323621,55540/6354/7850/3559/5292/1230/23765/1435/9021/8651/1438/4050,IL17RB/CCL7/IL1R2/IL2RA/PIM1/CCR1/IL17RA/CSF1/SOCS3/SOCS1/CSF2RA/LTB,ENSG00000056736/ENSG00000108688/ENSG00000115590/ENSG00000134460/ENSG00000137193/ENSG00000163823/ENSG00000177663/ENSG00000184371/ENSG00000184557/ENSG00000185338/ENSG00000198223/ENSG00000227507
H,,module_P337_BAL_EOS.pct_01,692,206,4383,HALLMARK_WNT_BETA_CATENIN_SIGNALING,8,42,0.19047619047619047,0.005072567863154924,0.00406269737323621,6932/81029/894/51176/85407/8321/10023/9612,TCF7/WNT5B/CCND2/LEF1/NKD1/FZD1/FRAT1/NCOR2,ENSG00000081059/ENSG00000111186/ENSG00000118971/ENSG00000138795/ENSG00000140807/ENSG00000157240/ENSG00000165879/ENSG00000196498
H,,module_P337_BAL_EOS.pct_01,692,206,4383,HALLMARK_INTERFERON_GAMMA_RESPONSE,18,200,0.09,0.036176960465913115,0.028974682295353757,6354/6347/7903/10875/85441/3620/91543/5292/3662/6775/3695/3455/317649/196410/1240/9934/9021/8651,CCL7/CCL2/ST8SIA4/FGL2/HELZ2/IDO1/RSAD2/PIM1/IRF4/STAT4/ITGB7/IFNAR2/EIF4E3/METTL7B/CMKLR1/P2RY14/SOCS3/SOCS1,ENSG00000108688/ENSG00000108691/ENSG00000113532/ENSG00000127951/ENSG00000130589/ENSG00000131203/ENSG00000134321/ENSG00000137193/ENSG00000137265/ENSG00000138378/ENSG00000139626/ENSG00000159110/ENSG00000163412/ENSG00000170439/ENSG00000174600/ENSG00000174944/ENSG00000184557/ENSG00000185338
H,,module_P337_BAL_EOS.pct_01,692,206,4383,HALLMARK_KRAS_SIGNALING_UP,16,200,0.08,0.12585469949618014,0.10079895840655163,639/4318/3783/3290/6696/894/7852/2162/2048/10253/101/1240/6304/1438/2119/10418,PRDM1/MMP9/KCNN4/HSD11B1/SPP1/CCND2/CXCR4/F13A1/EPHB2/SPRY2/ADAM8/CMKLR1/SATB1/CSF2RA/ETV5/SPON1,ENSG00000057657/ENSG00000100985/ENSG00000104783/ENSG00000117594/ENSG00000118785/ENSG00000118971/ENSG00000121966/ENSG00000124491/ENSG00000133216/ENSG00000136158/ENSG00000151651/ENSG00000174600/ENSG00000182568/ENSG00000198223/ENSG00000244405/ENSG00000262655
H,,module_P337_BAL_EOS.pct_01,692,206,4383,HALLMARK_TNFA_SIGNALING_VIA_NFKB,16,200,0.08,0.12585469949618014,0.10079895840655163,3604/5054/6347/10938/6385/10365/4814/5791/10318/7832/9592/1880/1960/1435/9021/4082,TNFRSF9/SERPINE1/CCL2/EHD1/SDC4/KLF2/NINJ1/PTPRE/TNIP1/BTG2/IER2/GPR183/EGR3/CSF1/SOCS3/MARCKS,ENSG00000049249/ENSG00000106366/ENSG00000108691/ENSG00000110047/ENSG00000124145/ENSG00000127528/ENSG00000131669/ENSG00000132334/ENSG00000145901/ENSG00000159388/ENSG00000160888/ENSG00000169508/ENSG00000179388/ENSG00000184371/ENSG00000184557/ENSG00000277443
H,,module_P337_BAL_EOS.pct_01,692,206,4383,HALLMARK_ESTROGEN_RESPONSE_LATE,15,200,0.075,0.19839508607664882,0.15889766619411236,55540/6196/8140/2030/1154/6652/8416/5603/399665/9022/2810/1960/57419/9612/9060,IL17RB/RPS6KA2/SLC7A5/SLC29A1/CISH/SORD/ANXA9/MAPK13/FAM102A/CLIC3/SFN/EGR3/SLC24A3/NCOR2/PAPSS2,ENSG00000056736/ENSG00000071242/ENSG00000103257/ENSG00000112759/ENSG00000114737/ENSG00000140263/ENSG00000143412/ENSG00000156711/ENSG00000167106/ENSG00000169583/ENSG00000175793/ENSG00000179388/ENSG00000185052/ENSG00000196498/ENSG00000198682
