group,size_group,gs_cat,gs_subcat,size_cat.subcat,group_in_cat.subcat,pathway,size_pathway,group_in_pathway,k/K,pval,FDR,qvalue,genes
STRING.cluster,377,C2,CP:KEGG,13343,248,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,265,22,0.0830188679245283,4.468298921204028e-9,3.8258317350351674e-6,3.5169064412850276e-6,"c(""CSF3"", ""IL23A"", ""LIF"", ""CCL21"", ""CCL27"", ""TNFRSF8"", ""IL9"", ""CXCR5"", ""IL22RA2"", ""IL7R"", ""IL3RA"", ""IL17A"", ""PDGFA"", ""CCL7"", ""IFNA2"", ""CCL26"", ""CXCL1"", ""TNFSF11"", ""IL10"", ""ACVR1B"", ""FLT3LG"", ""VEGFA"")"
STRING.cluster,377,C2,CP,13343,248,"NABA_SECRETED_FACTORS",343,25,0.0728862973760933,5.5087569978908096e-9,3.8258317350351674e-6,3.5169064412850276e-6,"c(""CSF3"", ""IL23A"", ""LIF"", ""CCL21"", ""CCL27"", ""CRHBP"", ""IL9"", ""BMP6"", ""TGFA"", ""S100P"", ""ANGPTL4"", ""IL16"", ""IL17A"", ""PDGFA"", ""S100A12"", ""CCL7"", ""IFNA2"", ""CCL26"", ""CXCL1"", ""TNFSF11"", ""NRG1"", ""IL34"", ""IL10"", ""FLT3LG"", ""VEGFA"")"
STRING.cluster,377,C2,CP:WIKIPATHWAYS,13343,248,WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,128,13,0.1015625,7.339182338282919e-7,3.398041422624991e-4,3.123659009241116e-4,"c(""CSF3"", ""IL23A"", ""LIF"", ""CCL21"", ""CCL27"", ""IL9"", ""IL17A"", ""CCL7"", ""IFNA2"", ""CCL26"", ""CXCL1"", ""IL10"", ""VEGFA"")"
STRING.cluster,377,C2,CP:REACTOME,13343,248,REACTOME_SIGNALING_BY_INTERLEUKINS,463,24,0.05183585313174946,5.723500563303552e-6,0.0019874855706071585,0.0018270016271808446,"c(""CSF3"", ""IL23A"", ""LIF"", ""MAPK3"", ""IL1RL2"", ""PELI2"", ""IL9"", ""IL22RA2"", ""IL16"", ""IL7R"", ""IL3RA"", ""MAPK11"", ""IL17A"", ""S100A12"", ""FSCN1"", ""CXCL1"", ""IL34"", ""PSMC6"", ""IL10"", ""PSMD6"", ""ITGAM"", ""ITGAX"", ""VEGFA"", ""SOCS2"")"
STRING.cluster,377,C2,CP:WIKIPATHWAYS,13343,248,WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA,63,8,0.12698412698412698,2.038521372312812e-5,0.005663012372284991,0.005205739841295665,"c(""ZFP36L2"", ""CYTL1"", ""ELF4"", ""MAF"", ""NRROS"", ""APBB1IP"", ""ITGAM"", ""ITGAX"")"
STRING.cluster,377,C2,CP:REACTOME,13343,248,REACTOME_STRIATED_MUSCLE_CONTRACTION,36,6,0.16666666666666666,4.7352751817167295e-5,0.01096216204567423,0.010076997886705952,"c(""TCAP"", ""TPM4"", ""TPM1"", ""TPM3"", ""MYH3"", ""NEB"")"
STRING.cluster,377,C2,CP:WIKIPATHWAYS,13343,248,WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,38,6,0.15789473684210525,6.506101231214705e-5,0.012909963728796036,0.011867519990170583,"c(""TCAP"", ""TPM4"", ""TPM1"", ""TPM3"", ""MYH3"", ""NEB"")"
STRING.cluster,377,C2,CP:WIKIPATHWAYS,13343,248,WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE,84,8,0.09523809523809523,1.6411172276423826e-4,0.026480281398133226,0.024342072173040512,"c(""MAPK3"", ""BRAF"", ""TGFA"", ""SHC4"", ""PDGFA"", ""NRG1"", ""PRKCA"", ""VEGFA"")"
STRING.cluster,377,C2,CP:KEGG,13343,248,KEGG_THYROID_CANCER,29,5,0.1724137931034483,1.7563343121897916e-4,0.026480281398133226,0.024342072173040512,"c(""MAPK3"", ""BRAF"", ""RET"", ""TPM3"", ""NTRK1"")"
STRING.cluster,377,C2,CP:KEGG,13343,248,KEGG_GLIOMA,65,7,0.1076923076923077,1.956884934502207e-4,0.026480281398133226,0.024342072173040512,"c(""MAPK3"", ""BRAF"", ""TGFA"", ""CAMK2G"", ""SHC4"", ""PDGFA"", ""PRKCA"")"
STRING.cluster,377,C2,CP:KEGG,13343,248,KEGG_ERBB_SIGNALING_PATHWAY,87,8,0.09195402298850575,2.0970705210904644e-4,0.026480281398133226,0.024342072173040512,"c(""MAPK3"", ""BRAF"", ""TGFA"", ""CAMK2G"", ""SHC4"", ""NRG1"", ""PRKCA"", ""ABL2"")"
STRING.cluster,377,C2,CP:WIKIPATHWAYS,13343,248,WP_ERBB_SIGNALING_PATHWAY,91,8,0.08791208791208792,2.861894140966955e-4,0.03312642468169251,0.030451557833271196,"c(""MAPK3"", ""BRAF"", ""TGFA"", ""CAMK2G"", ""SHC4"", ""NRG1"", ""PRKCA"", ""ABL2"")"
STRING.cluster,377,C2,CP:BIOCARTA,13343,248,BIOCARTA_CYTOKINE_PATHWAY,19,4,0.21052631578947367,3.623791883003697e-4,0.03871882250378565,0.035592385053307564,"c(""IL9"", ""IL16"", ""IL17A"", ""IL10"")"
STRING.cluster,377,C2,CP:REACTOME,13343,248,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,120,9,0.075,3.986559764785282e-4,0.03955236795204826,0.03635862402018456,"c(""MED28"", ""ABCB4"", ""ANGPTL4"", ""CDK19"", ""CDK8"", ""FHL2"", ""NFYC"", ""TIAM2"", ""MED6"")"
STRING.cluster,377,C2,CP:KEGG,13343,248,KEGG_JAK_STAT_SIGNALING_PATHWAY,155,10,0.06451612903225806,6.378445236197837e-4,0.059064402887191975,0.05429511629128405,"c(""CSF3"", ""IL23A"", ""LIF"", ""IL9"", ""IL22RA2"", ""IL7R"", ""IL3RA"", ""IFNA2"", ""IL10"", ""SOCS2"")"
STRING.cluster,377,C2,CP:REACTOME,13343,248,REACTOME_MUSCLE_CONTRACTION,195,11,0.05641025641025641,0.001059027635594692,0.08842961536601113,0.08128916936756583,"c(""CACNG8"", ""TCAP"", ""CAMK2G"", ""TPM4"", ""TPM1"", ""CASQ1"", ""TPM3"", ""KCNK17"", ""SCN9A"", ""MYH3"", ""NEB"")"
STRING.cluster,377,C2,CP:REACTOME,13343,248,REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,111,8,0.07207207207207207,0.001082291908727278,0.08842961536601113,0.08128916936756583,"c(""IL23A"", ""LIF"", ""IL17A"", ""FSCN1"", ""IL10"", ""ITGAM"", ""ITGAX"", ""VEGFA"")"
STRING.cluster,377,C2,CP:WIKIPATHWAYS,13343,248,WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE,26,4,0.15384615384615385,0.0012620362956313376,0.0922885668315326,0.08483652121302644,"c(""CSF3"", ""PDGFA"", ""CXCL1"", ""IL10"")"
STRING.cluster,377,C2,CP:PID,13343,248,PID_CD8_TCR_DOWNSTREAM_PATHWAY,65,6,0.09230769230769231,0.0012819853323823487,0.0922885668315326,0.08483652121302644,"c(""MAPK3"", ""BRAF"", ""IFNA2"", ""PPP3CA"", ""PRKCA"", ""EGR4"")"
STRING.cluster,377,C2,CP:KEGG,13343,248,KEGG_PROSTATE_CANCER,89,7,0.07865168539325842,0.0013288490544497134,0.0922885668315326,0.08483652121302644,"c(""CREB3L3"", ""MAPK3"", ""CDK2"", ""BRAF"", ""TGFA"", ""PDGFA"", ""CREB5"")"
STRING.cluster,377,C2,CP:WIKIPATHWAYS,13343,248,WP_PLURIPOTENT_STEM_CELL_DIFFERENTIATION_PATHWAY,48,5,0.10416666666666667,0.0019010103315008414,0.10837534145486634,0.09962433343545365,"c(""NOTCH1"", ""PDGFA"", ""TNFSF11"", ""FLT3LG"", ""VEGFA"")"
STRING.cluster,377,C2,CP:PID,13343,248,PID_INTEGRIN2_PATHWAY,29,4,0.13793103448275862,0.0019193930695458983,0.10837534145486634,0.09962433343545365,"c(""PLAT"", ""PROC"", ""ITGAM"", ""ITGAX"")"
STRING.cluster,377,C2,CP:PID,13343,248,PID_TCR_RAS_PATHWAY,14,3,0.21428571428571427,0.001984062441306843,0.10837534145486634,0.09962433343545365,"c(""MAPK3"", ""BRAF"", ""PRKCA"")"
STRING.cluster,377,C2,CP:REACTOME,13343,248,REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS,14,3,0.21428571428571427,0.001984062441306843,0.10837534145486634,0.09962433343545365,"c(""MAPK3"", ""BRAF"", ""NTRK1"")"
STRING.cluster,377,C2,CP:WIKIPATHWAYS,13343,248,WP_NONGENOMIC_ACTIONS_OF_125_DIHYDROXYVITAMIN_D3,71,6,0.08450704225352113,0.0020268351851727867,0.10837534145486634,0.09962433343545365,"c(""MAPK3"", ""CAMK2G"", ""MAPK11"", ""IFNA2"", ""PRKCA"", ""VDR"")"
STRING.cluster,377,C2,CP:WIKIPATHWAYS,13343,248,WP_PI3KAKT_SIGNALING_PATHWAY,345,15,0.043478260869565216,0.0020286241021069294,0.10837534145486634,0.09962433343545365,"c(""CREB3L3"", ""CSF3"", ""MAPK3"", ""ITGA9"", ""CDK2"", ""TGFA"", ""IL7R"", ""IL3RA"", ""PDGFA"", ""CREB5"", ""IFNA2"", ""PRKCA"", ""NTRK1"", ""FLT3LG"", ""VEGFA"")"
STRING.cluster,377,C2,CP:KEGG,13343,248,KEGG_ASTHMA,30,4,0.13333333333333333,0.002182747300175691,0.11229022222014942,0.10322309844495568,"c(""IL9"", ""MS4A2"", ""RNASE3"", ""IL10"")"
STRING.cluster,377,C2,CP:REACTOME,13343,248,REACTOME_NEGATIVE_REGULATION_OF_FLT3,15,3,0.2,0.0024462499258904426,0.12135146953792231,0.11155267519192132,"c(""ABL2"", ""FLT3LG"", ""SOCS2"")"
STRING.cluster,377,C2,CP:KEGG,13343,248,KEGG_CHEMOKINE_SIGNALING_PATHWAY,189,10,0.05291005291005291,0.002831661916320594,0.13206643523815265,0.12140243715196784,"c(""CCL21"", ""CCL27"", ""MAPK3"", ""BRAF"", ""CXCR5"", ""SHC4"", ""CCL7"", ""CCL26"", ""CXCL1"", ""TIAM2"")"
STRING.cluster,377,C2,CP:WIKIPATHWAYS,13343,248,WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY,221,11,0.049773755656108594,0.0028524068085994093,0.13206643523815265,0.12140243715196784,"c(""CCL21"", ""CCL27"", ""IL9"", ""CD226"", ""IL16"", ""HBB"", ""IL17A"", ""CCL26"", ""CXCL1"", ""IL10"", ""NTRK1"")"
