group,size_group,gs_cat,gs_subcat,size_cat.subcat,group_in_cat.subcat,pathway,size_pathway,group_in_pathway,k/K,pval,FDR,qvalue,genes
STRING.cluster,377,C7,IMMUNESIGDB,21355,352,GSE17974_0H_VS_24H_IN_VITRO_ACT_CD4_TCELL_UP,191,13,0.06806282722513089,1.8164611529182976e-5,0.019872277185086985,0.01706129060809655,"c(""RGS2"", ""GSE1"", ""RAP1GAP2"", ""ERP27"", ""PELI2"", ""GPR65"", ""C16orf74"", ""IL7R"", ""ZFAND2A"", ""MDS2"", ""GABBR1"", ""C11orf21"", ""ITGAM"")"
STRING.cluster,377,C7,IMMUNESIGDB,21355,352,GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_6H_DN,192,13,0.06770833333333333,1.919891799943674e-5,0.019872277185086985,0.01706129060809655,"c(""GID8"", ""ZFP36L2"", ""MSI2"", ""GPC2"", ""NUDT21"", ""KMT2E"", ""MAF"", ""NRROS"", ""ADGRG6"", ""SFR1"", ""ETV6"", ""SERINC5"", ""VASH2"")"
STRING.cluster,377,C7,IMMUNESIGDB,21355,352,GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_DN,197,13,0.06598984771573604,2.518372607904082e-5,0.019872277185086985,0.01706129060809655,"c(""UPK3A"", ""RGS2"", ""LAMP5"", ""LIF"", ""TGFA"", ""S100P"", ""IL3RA"", ""S100A12"", ""CXCL1"", ""SAG"", ""TLR6"", ""KCTD15"", ""VDR"")"
STRING.cluster,377,C7,IMMUNESIGDB,21355,352,GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_DN,170,12,0.07058823529411765,2.6545633154626e-5,0.019872277185086985,0.01706129060809655,"c(""VRK1"", ""CDV3"", ""NONO"", ""OLA1"", ""GPR82"", ""TRIM59"", ""BRI3BP"", ""TXNDC15"", ""PRSS3"", ""MTHFD2"", ""ITGAX"", ""SOCS2"")"
STRING.cluster,377,C7,IMMUNESIGDB,21355,352,GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP,198,13,0.06565656565656566,2.655941372078403e-5,0.019872277185086985,0.01706129060809655,"c(""COTL1"", ""CKLF"", ""TGFA"", ""ZNF33A"", ""RSBN1L"", ""MOB3A"", ""S100A12"", ""TLR6"", ""MS4A6A"", ""C11orf21"", ""CLEC4C"", ""C8orf88"", ""RAB11FIP4"")"
STRING.cluster,377,C7,IMMUNESIGDB,21355,352,GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_UP,199,13,0.06532663316582915,2.8000390558697446e-5,0.019872277185086985,0.01706129060809655,"c(""BMP6"", ""IL16"", ""CANT1"", ""ELF4"", ""INSM1"", ""TRIM13"", ""CASQ1"", ""BRWD3"", ""PBX2"", ""TLE4"", ""GABBR1"", ""NREP"", ""FLT3LG"")"
STRING.cluster,377,C7,IMMUNESIGDB,21355,352,GSE46242_CTRL_VS_EGR2_DELETED_TH1_CD4_TCELL_UP,199,13,0.06532663316582915,2.8000390558697446e-5,0.019872277185086985,0.01706129060809655,"c(""ABCB4"", ""OLA1"", ""IL22RA2"", ""NRIP3"", ""SLX4IP"", ""KHDRBS3"", ""MOB3A"", ""PRSS3"", ""ARHGEF2"", ""TPM3"", ""FSCN1"", ""TLR6"", ""ITGAX"")"
STRING.cluster,377,C7,VAX,21355,352,GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_STIMULATED_VS_UNSTIMULATED_0DY_VACCINATION_INDEPENDENT_UP,257,14,0.054474708171206226,1.0087370045322366e-4,0.026451366704326944,0.022709750378407657,"c(""NMI"", ""LAMP5"", ""VPREB3"", ""LIF"", ""IL9"", ""INSM1"", ""IL3RA"", ""CCL7"", ""FSCN1"", ""CXCL1"", ""NRG1"", ""FHL2"", ""SOCS2"", ""IFITM2"")"
STRING.cluster,377,C7,IMMUNESIGDB,21355,352,GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP,196,12,0.061224489795918366,1.0557724411338792e-4,0.026451366704326944,0.022709750378407657,"c(""CD69"", ""RGS2"", ""LIF"", ""CYTIP"", ""N4BP3"", ""MAML1"", ""ELF4"", ""HBB"", ""ZMIZ1"", ""WAC"", ""TPM3"", ""RAB11FIP4"")"
STRING.cluster,377,C7,IMMUNESIGDB,21355,352,GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP,197,12,0.06091370558375635,1.1079195879669729e-4,0.026451366704326944,0.022709750378407657,"c(""CYTIP"", ""NRIP3"", ""ELF4"", ""ZMIZ1"", ""CREB5"", ""S100A12"", ""GABBR1"", ""CCL7"", ""MTHFD2"", ""C11orf21"", ""ITGAX"", ""VEGFA"")"
