geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
ENSG00000078369,8.548430115315794,8.571137291686467,276.5530887799398,5.606448379830528e-73,3.847705523077692e-69,141.592405543369,(Intercept),up
ENSG00000071127,9.396283933758134,9.412411720372603,267.92391590002285,2.2619847438727086e-72,7.7620006485992e-69,140.94492219771894,(Intercept),up
ENSG00000118705,9.031715956130894,9.040917215709905,251.54397603552647,3.6309204437084265e-71,8.30633566839031e-68,139.58954444991295,(Intercept),up
ENSG00000114573,8.641033920275804,8.669076002229247,247.1837707565529,7.836878111515176e-71,1.3291634664114062e-67,139.19806539206698,(Intercept),up
ENSG00000142657,9.16844667961521,9.17622786938452,245.99791725508135,9.683545580732961e-71,1.3291634664114062e-67,139.08919579810413,(Intercept),up
ENSG00000100664,8.639714730265707,8.638199605571748,241.82733219909477,2.054764772400127e-70,2.250536912625435e-67,138.69789031641324,(Intercept),up
ENSG00000079246,8.383114038353565,8.40955467026618,241.2192388694757,2.2954623908462835e-70,2.250536912625435e-67,138.63971877966432,(Intercept),up
ENSG00000159322,8.461549307931792,8.469911700094599,238.4619547940973,3.806602681844934e-70,3.2655892756877226e-67,138.37229128982716,(Intercept),up
ENSG00000180353,8.91585153829438,8.927253621997613,231.6889865642696,1.3523196671815385e-69,9.809011291001143e-67,137.6890242626742,(Intercept),up
ENSG00000135821,10.559974709523559,10.571743899395367,231.39775286647665,1.4292599870320768e-69,9.809011291001143e-67,137.65877518246197,(Intercept),up
ENSG00000113013,8.119202344884691,8.125079740155488,225.08783174246759,4.823258787089444e-69,3.0092750050722594e-66,136.98496410158117,(Intercept),up
ENSG00000124831,9.19557322569794,9.16459456329305,220.43191749381523,1.2096853969613612e-68,6.918392399454851e-66,136.46427561884175,(Intercept),up
ENSG00000103187,9.493982394215932,9.50692087069065,219.58821887015895,1.4319757677818354e-68,7.55973053406672e-66,136.3676952747674,(Intercept),up
ENSG00000132824,8.531868877549954,8.516619456561148,216.88150873471534,2.4710762982852622e-68,1.2113569025094111e-65,136.05310388099406,(Intercept),up
ENSG00000186517,9.14692890587605,9.11831107434347,214.05097872306982,4.404073434255246e-68,2.0150103986195836e-65,135.71619935891732,(Intercept),up
ENSG00000101347,9.714440056184412,9.704646862222948,212.69241727384878,5.827604043720956e-68,2.4996779095035576e-65,135.55154753456017,(Intercept),up
ENSG00000146376,8.409240216557633,8.403912244541091,212.32337554426235,6.290211293455559e-68,2.5393953004109117e-65,135.50648545090564,(Intercept),up
ENSG00000110876,9.520177928202875,9.489318649084318,212.0207682506238,6.69747723675207e-68,2.5535992375460807e-65,135.46942754641876,(Intercept),up
ENSG00000131446,9.46634594824831,9.496053376220628,210.90342563816796,8.44989570214048e-68,2.9349848549331275e-65,135.33174818016047,(Intercept),up
ENSG00000044574,8.894193628893827,8.961521538152427,210.8452461321453,8.55306674904015e-68,2.9349848549331275e-65,135.32454255854856,(Intercept),up
ENSG00000074800,9.556655407188412,9.596514432909194,210.48947919754357,9.212607956902669e-68,3.010768019439191e-65,135.28040075969884,(Intercept),up
ENSG00000139641,9.41414373057475,9.402391888124706,208.73171806633627,1.3322269415382041e-67,4.155942499898497e-65,135.06028460251972,(Intercept),up
ENSG00000265972,10.65605752578605,10.624686944023995,208.09444502218756,1.5240162462091047e-67,4.5475319555361235e-65,134.97964284889858,(Intercept),up
ENSG00000183283,8.733764881948508,8.764840265122166,207.40068405543812,1.7651510710999363e-67,4.96974809978868e-65,134.89133960560076,(Intercept),up
ENSG00000084234,10.005105805169515,9.984893321635907,207.28152241080372,1.810340995114629e-67,4.96974809978868e-65,134.87611833585296,(Intercept),up
ENSG00000109861,10.354112615300531,10.333874592586731,206.4452752745718,2.1626313873350654e-67,5.708515081261752e-65,134.76884992069864,(Intercept),up
ENSG00000166598,9.122511247444185,9.15472473537487,205.34323072297792,2.7367017719297946e-67,6.956290466945993e-65,134.62627637715835,(Intercept),up
ENSG00000143549,8.64056785926789,8.649000511763335,204.87282839096758,3.027172054712291e-67,7.419814932675162e-65,134.5649967026236,(Intercept),up
ENSG00000117676,8.876622055767344,8.880979128507388,204.19696082946652,3.500726861185376e-67,8.28465118907422e-65,134.47650433425395,(Intercept),up
ENSG00000110719,9.462846149954755,9.483857443064531,201.91110489014378,5.74376034597016e-67,1.3139809084797736e-64,134.17326119962664,(Intercept),up
ENSG00000169714,8.7665086438368,8.761460159850454,200.7310308196068,7.432972625929044e-67,1.5766080310145994e-64,134.01428687319626,(Intercept),up
ENSG00000169813,8.061523017545047,8.092393107039802,200.6675779613546,7.537053146283006e-67,1.5766080310145994e-64,134.00569138661763,(Intercept),up
ENSG00000136240,7.687155309062399,7.7293744445873225,200.6410839458711,7.580950753822203e-67,1.5766080310145994e-64,134.0021010011257,(Intercept),up
ENSG00000090863,8.487046389691828,8.481424894262075,200.02460003987676,8.679683387161681e-67,1.7128546535556785e-64,133.91831716396186,(Intercept),up
ENSG00000142634,8.938168006409423,8.962436189362267,199.88758021864834,8.945259336904127e-67,1.7128546535556785e-64,133.89963269011756,(Intercept),up
ENSG00000100353,7.55575000025609,7.5556685953669405,199.86753004611992,8.984812403905643e-67,1.7128546535556785e-64,133.89689666562765,(Intercept),up
ENSG00000135926,9.430982566068986,9.408178597428256,199.47280215727884,9.800990307057039e-67,1.8179512561441203e-64,133.84293266671168,(Intercept),up
ENSG00000147140,7.709221403949869,7.726550668728254,197.69777615423178,1.4521162647120488e-66,2.622598401241787e-64,133.59789689044456,(Intercept),up
