geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
ENSG00000071127,9.357529218802823,9.412411720372603,251.69809093959532,2.722101927046509e-71,3.905127424540922e-67,138.7817585816161,(Intercept),up
ENSG00000078369,8.53483997809185,8.571137291686467,246.57836585139452,6.7349059708713644e-71,4.8309480529060295e-67,138.34215715446953,(Intercept),up
ENSG00000116701,9.445756097072813,9.419426344365318,238.85365154789827,2.7393908009320354e-70,1.3099766810056992e-66,137.64257577909336,(Intercept),up
ENSG00000177885,9.485949621159376,9.462028866735054,231.31083712891606,1.1269894721078842e-69,3.3982595751393e-66,136.9142299405516,(Intercept),up
ENSG00000118705,8.991935245041143,9.040917215709905,231.0502665417399,1.1843927140454832e-69,3.3982595751393e-66,136.8882256141867,(Intercept),up
ENSG00000139644,10.133873950515275,10.098035284171571,227.5916830111958,2.3024945389944176e-69,5.505264442735653e-66,136.53751620975567,(Intercept),up
ENSG00000096384,9.232441554176347,9.251691446809211,224.27472118768594,4.397685727710499e-69,9.012742778533546e-66,136.1912211614115,(Intercept),up
ENSG00000114573,8.61118894535195,8.669076002229247,222.08509788716609,6.776730142911962e-69,1.2152371328776876e-65,135.95711091390862,(Intercept),up
ENSG00000100664,8.679906942190922,8.638199605571748,220.0141811715467,1.0241031866256279e-68,1.5517084050488866e-65,135.731548010408,(Intercept),up
ENSG00000136167,10.205694583620613,10.208666625048053,219.380180616007,1.162999934004773e-68,1.5517084050488866e-65,135.66167310175481,(Intercept),up
ENSG00000079246,8.352223538360539,8.40955467026618,219.26682934605,1.1897945389333439e-68,1.5517084050488866e-65,135.64913943051488,(Intercept),up
ENSG00000142657,9.13821292095496,9.17622786938452,218.73145554544598,1.3251458751785043e-68,1.584211893775902e-65,135.5897725965816,(Intercept),up
ENSG00000159322,8.509762524563403,8.469911700094599,216.24933536295552,2.191319198475068e-68,2.418205017024871e-65,135.31085680721827,(Intercept),up
ENSG00000125818,8.11449501804701,8.09016298096569,212.77204420765088,4.4768772597121055e-68,4.5875200834164194e-65,134.90969387510893,(Intercept),up
ENSG00000115762,9.183890018683579,9.184792438310197,210.86826103059397,6.652665956184474e-68,6.36260972049483e-65,134.68475835368002,(Intercept),up
ENSG00000113648,8.337107376620422,8.317766500835347,210.43276964760548,7.287244099726419e-68,6.5339252409172005e-65,134.63276545385324,(Intercept),up
ENSG00000122566,9.044789781753572,9.050870348423482,210.1207835055055,7.779645990211012e-68,6.565105963268658e-65,134.5953931701061,(Intercept),up
ENSG00000180353,8.865039050261203,8.927253621997613,208.58296194675086,1.0753450767825344e-67,8.5705002619568e-65,134.40964776466234,(Intercept),up
ENSG00000109971,9.557986022873271,9.571165722927724,207.87110926121838,1.2501905628836463e-67,9.198583585164722e-65,134.32279582350702,(Intercept),up
ENSG00000152234,8.920138075223818,8.940931634365509,207.75119223156267,1.2823900160553079e-67,9.198583585164722e-65,134.30811021858642,(Intercept),up
