geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
module_P337_BAL_EOS.pct_07,5.611420703895353,5.791327577527341,79.74303166258318,8.029823059128373e-54,7.226840753215536e-53,112.44490460213866,(Intercept),up
module_P337_BAL_EOS.pct_05,4.777228464028683,5.001999585840048,65.2452588360889,1.4635924471353822e-49,6.58616601210922e-49,102.99255126037517,(Intercept),up
module_P337_BAL_EOS.pct_04,5.089519896439883,5.325436042208873,64.17045415770987,3.2912485646334007e-49,9.873745693900201e-49,102.20312472667653,(Intercept),up
module_P337_BAL_EOS.pct_03,3.73250428305054,4.066220527214994,35.59537216618826,7.445571159814865e-37,1.6752535109583446e-36,73.96650877509397,(Intercept),up
module_P337_BAL_NEUT.pct_01,3.1084752824509922,3.7119425904096865,27.866564706014827,7.454855929744061e-32,1.3418740673539311e-31,62.36613111054467,(Intercept),up
module_P337_BAL_EOS.pct_08,2.7530855839751065,3.3564468362356026,26.589835036141253,6.5469027688525204e-31,9.82035415327878e-31,60.171547287617855,(Intercept),up
module_P337_BAL_EOS.pct_02,2.2592074750857236,2.6126214671139705,23.309251696489433,2.714516637716903e-28,3.490092819921733e-28,54.07702527735161,(Intercept),up
module_P337_BAL_EOS.pct_01,2.5220261346795656,3.2964387025755446,17.455966103907503,9.280221587054744e-23,1.0440249285436587e-22,41.17388705373219,(Intercept),up
module_P337_BAL_EOS.pct_06,2.185046418629672,2.6468593110648477,15.830119101781895,5.640275456188171e-21,5.640275456188171e-21,37.01298058673537,(Intercept),up
module_P337_BAL_EOS.pct_08,1.2067225045209893,3.3564468362356026,10.192815917783506,9.796288428586361e-14,8.816659585727724e-13,20.988026986035873,visit,up
module_P337_BAL_NEUT.pct_01,1.206934615917387,3.7119425904096865,9.46260250151723,1.135571278247436e-12,4.584206884212115e-12,18.544561859021538,visit,up
module_P337_BAL_EOS.pct_01,1.548825135791956,3.2964387025755446,9.375350946738681,1.5280689614040382e-12,4.584206884212115e-12,18.24855744670494,visit,up
module_P337_BAL_EOS.pct_02,0.7068279840564948,2.6126214671139705,6.377886534363442,5.9362445451316676e-8,1.3356550226546252e-7,7.739403213137833,visit,up
module_P337_BAL_EOS.pct_06,0.9236257848703482,2.6468593110648477,5.852081984778949,3.8657054200731535e-7,6.958269756131677e-7,5.888243051173151,visit,up
module_P337_BAL_EOS.pct_03,0.6674324883289094,4.066220527214994,5.566617803960674,1.060221761740947e-6,1.5903326426114204e-6,4.89432646085861,visit,up
module_P337_BAL_EOS.pct_05,0.4495422436227324,5.001999585840048,5.36950553071992,2.1170941393951977e-6,2.721978179222397e-6,4.214462578604395,visit,up
module_P337_BAL_EOS.pct_04,0.4718322915379828,5.325436042208873,5.202795964714071,3.784595573702206e-6,4.257670020414982e-6,3.644412855366798,visit,up
module_P337_BAL_EOS.pct_07,0.359813747263972,5.791327577527341,4.471863131917326,4.55670147630505e-5,4.55670147630505e-5,1.2158712927917135,visit,up
