geneName,module,gene_biotype,hgnc_symbol,module.char,mod.color
ENSG00000000457,1,protein_coding,SCYL3,01,turquoise
ENSG00000000938,0,protein_coding,FGR,00,grey
ENSG00000002587,1,protein_coding,HS3ST1,01,turquoise
ENSG00000002726,1,protein_coding,AOC1,01,turquoise
ENSG00000002834,7,protein_coding,LASP1,07,black
ENSG00000002933,2,protein_coding,TMEM176A,02,blue
ENSG00000003056,4,protein_coding,M6PR,04,yellow
ENSG00000003249,1,protein_coding,DBNDD1,01,turquoise
ENSG00000003393,3,protein_coding,ALS2,03,brown
ENSG00000004455,2,protein_coding,AK2,02,blue
ENSG00000004478,4,protein_coding,FKBP4,04,yellow
ENSG00000004777,1,protein_coding,ARHGAP33,01,turquoise
ENSG00000004809,1,protein_coding,SLC22A16,01,turquoise
ENSG00000005007,7,protein_coding,UPF1,07,black
ENSG00000005102,1,protein_coding,MEOX1,01,turquoise
ENSG00000005156,7,protein_coding,LIG3,07,black
ENSG00000005339,5,protein_coding,CREBBP,05,green
ENSG00000005381,1,protein_coding,MPO,01,turquoise
ENSG00000005471,2,protein_coding,ABCB4,02,blue
ENSG00000005483,2,protein_coding,KMT2E,02,blue
ENSG00000005810,2,protein_coding,MYCBP2,02,blue
ENSG00000005961,1,protein_coding,ITGA2B,01,turquoise
ENSG00000006025,6,protein_coding,OSBPL7,06,red
ENSG00000006062,1,protein_coding,MAP3K14,01,turquoise
ENSG00000006327,5,protein_coding,TNFRSF12A,05,green
ENSG00000006451,5,protein_coding,RALA,05,green
ENSG00000006459,1,protein_coding,KDM7A,01,turquoise
ENSG00000006555,1,protein_coding,TTC22,01,turquoise
ENSG00000006606,1,protein_coding,CCL26,01,turquoise
ENSG00000006625,4,protein_coding,GGCT,04,yellow
ENSG00000006634,6,protein_coding,DBF4,06,red
ENSG00000006695,3,protein_coding,COX10,03,brown
ENSG00000007237,1,protein_coding,GAS7,01,turquoise
ENSG00000007264,1,protein_coding,MATK,01,turquoise
ENSG00000007312,6,protein_coding,CD79B,06,red
ENSG00000007350,2,protein_coding,TKTL1,02,blue
ENSG00000007968,8,protein_coding,E2F2,08,pink
ENSG00000008056,2,protein_coding,SYN1,02,blue
ENSG00000008083,3,protein_coding,JARID2,03,brown
ENSG00000008118,1,protein_coding,CAMK1G,01,turquoise
ENSG00000008130,4,protein_coding,NADK,04,yellow
ENSG00000008277,2,protein_coding,ADAM22,02,blue
ENSG00000008405,7,protein_coding,CRY1,07,black
ENSG00000008438,1,protein_coding,PGLYRP1,01,turquoise
ENSG00000008516,1,protein_coding,MMP25,01,turquoise
ENSG00000008517,6,protein_coding,IL32,06,red
ENSG00000009790,1,protein_coding,TRAF3IP3,01,turquoise
ENSG00000010310,1,protein_coding,GIPR,01,turquoise
ENSG00000010322,1,protein_coding,NISCH,01,turquoise
ENSG00000010327,1,protein_coding,STAB1,01,turquoise
ENSG00000010438,2,protein_coding,PRSS3,02,blue
ENSG00000010539,7,protein_coding,ZNF200,07,black
ENSG00000010810,6,protein_coding,FYN,06,red
ENSG00000011028,1,protein_coding,MRC2,01,turquoise
ENSG00000011132,5,protein_coding,APBA3,05,green
ENSG00000011275,7,protein_coding,RNF216,07,black
ENSG00000011304,7,protein_coding,PTBP1,07,black
ENSG00000011426,8,protein_coding,ANLN,08,pink
ENSG00000012048,8,protein_coding,BRCA1,08,pink
ENSG00000012171,3,protein_coding,SEMA3B,03,brown
ENSG00000012660,3,protein_coding,ELOVL5,03,brown
ENSG00000013588,2,protein_coding,GPRC5A,02,blue
ENSG00000013725,6,protein_coding,CD6,06,red
ENSG00000013810,7,protein_coding,TACC3,07,black
ENSG00000014138,6,protein_coding,POLA2,06,red
ENSG00000014257,1,protein_coding,ACPP,01,turquoise
ENSG00000015133,6,protein_coding,CCDC88C,06,red
ENSG00000015285,5,protein_coding,WAS,05,green
ENSG00000017483,1,protein_coding,SLC38A5,01,turquoise
ENSG00000019485,3,protein_coding,PRDM11,03,brown
ENSG00000019991,1,protein_coding,HGF,01,turquoise
ENSG00000020633,1,protein_coding,RUNX3,01,turquoise
ENSG00000022567,3,protein_coding,SLC45A4,03,brown
ENSG00000023445,6,protein_coding,BIRC3,06,red
ENSG00000023892,1,protein_coding,DEF6,01,turquoise
ENSG00000023902,6,protein_coding,PLEKHO1,06,red
ENSG00000023909,7,protein_coding,GCLM,07,black
ENSG00000024048,3,protein_coding,UBR2,03,brown
ENSG00000024526,2,protein_coding,DEPDC1,02,blue
ENSG00000025423,2,protein_coding,HSD17B6,02,blue
ENSG00000025770,5,protein_coding,NCAPH2,05,green
ENSG00000026751,6,protein_coding,SLAMF7,06,red
