P337_BAL_EOS.pct.1,P337_BAL_EOS.pct.2,P337_BAL_EOS.pct.3,P337_BAL_EOS.pct.4,P337_BAL_EOS.pct.5,P337_BAL_EOS.pct.6,P337_BAL_EOS.pct.7,P337_BAL_EOS.pct.8,P337_BAL_EOS.pct.9
ENSG00000000457,ENSG00000002933,ENSG00000003393,ENSG00000003056,ENSG00000005339,ENSG00000006025,ENSG00000002834,ENSG00000007968,
ENSG00000002587,ENSG00000004455,ENSG00000006695,ENSG00000004478,ENSG00000006327,ENSG00000006634,ENSG00000005007,ENSG00000011426,
ENSG00000002726,ENSG00000005471,ENSG00000008083,ENSG00000006625,ENSG00000006451,ENSG00000007312,ENSG00000005156,ENSG00000012048,
ENSG00000003249,ENSG00000005483,ENSG00000012171,ENSG00000008130,ENSG00000011132,ENSG00000008517,ENSG00000008405,ENSG00000051341,
ENSG00000004777,ENSG00000005810,ENSG00000012660,ENSG00000029993,ENSG00000015285,ENSG00000010810,ENSG00000010539,ENSG00000065328,
ENSG00000004809,ENSG00000007350,ENSG00000019485,ENSG00000031691,ENSG00000025770,ENSG00000013725,ENSG00000011275,ENSG00000072571,
ENSG00000005102,ENSG00000008056,ENSG00000022567,ENSG00000037897,ENSG00000050393,ENSG00000014138,ENSG00000011304,ENSG00000073111,
ENSG00000005381,ENSG00000008277,ENSG00000024048,ENSG00000040487,ENSG00000063180,ENSG00000015133,ENSG00000013810,ENSG00000076003,
ENSG00000005961,ENSG00000010438,ENSG00000030419,ENSG00000040608,ENSG00000063241,ENSG00000023445,ENSG00000023909,ENSG00000077152,
ENSG00000006062,ENSG00000013588,ENSG00000033122,ENSG00000040633,ENSG00000063244,ENSG00000023902,ENSG00000028137,ENSG00000080986,
ENSG00000006459,ENSG00000024526,ENSG00000033170,ENSG00000048471,ENSG00000064490,ENSG00000026751,ENSG00000033100,ENSG00000085840,
ENSG00000006555,ENSG00000025423,ENSG00000033867,ENSG00000060558,ENSG00000064995,ENSG00000027869,ENSG00000038358,ENSG00000085999,
ENSG00000006606,ENSG00000048462,ENSG00000035499,ENSG00000065485,ENSG00000070915,ENSG00000029153,ENSG00000044574,ENSG00000087245,
ENSG00000007237,ENSG00000052723,ENSG00000037749,ENSG00000065600,ENSG00000071626,ENSG00000029534,ENSG00000047621,ENSG00000087586,
ENSG00000007264,ENSG00000055044,ENSG00000038427,ENSG00000065802,ENSG00000077549,ENSG00000041353,ENSG00000051825,ENSG00000088325,
ENSG00000008118,ENSG00000058335,ENSG00000040275,ENSG00000068489,ENSG00000078668,ENSG00000055208,ENSG00000054523,ENSG00000089685,
ENSG00000008438,ENSG00000060566,ENSG00000041982,ENSG00000069399,ENSG00000087191,ENSG00000056558,ENSG00000065308,ENSG00000090889,
ENSG00000008516,ENSG00000065911,ENSG00000043462,ENSG00000069998,ENSG00000088832,ENSG00000059145,ENSG00000065357,ENSG00000091651,
ENSG00000009790,ENSG00000066136,ENSG00000048740,ENSG00000070495,ENSG00000089486,ENSG00000061273,ENSG00000065526,ENSG00000092853,
ENSG00000010310,ENSG00000068976,ENSG00000049759,ENSG00000070950,ENSG00000095970,ENSG00000065675,ENSG00000066084,ENSG00000093009,
ENSG00000010322,ENSG00000069188,ENSG00000052795,ENSG00000072958,ENSG00000100092,ENSG00000068796,ENSG00000066135,ENSG00000100162,
ENSG00000010327,ENSG00000069696,ENSG00000053254,ENSG00000074266,ENSG00000100314,ENSG00000069493,ENSG00000066827,ENSG00000100526,
ENSG00000011028,ENSG00000070031,ENSG00000055163,ENSG00000075336,ENSG00000100364,ENSG00000071575,ENSG00000067057,ENSG00000101057,
ENSG00000014257,ENSG00000072134,ENSG00000055609,ENSG00000075413,ENSG00000100365,ENSG00000072818,ENSG00000067334,ENSG00000101412,
ENSG00000017483,ENSG00000073605,ENSG00000058063,ENSG00000075884,ENSG00000100410,ENSG00000073792,ENSG00000070214,ENSG00000102743,
ENSG00000019991,ENSG00000074800,ENSG00000058272,ENSG00000076928,ENSG00000100442,ENSG00000077150,ENSG00000070413,ENSG00000105011,
ENSG00000020633,ENSG00000075240,ENSG00000058668,ENSG00000077312,ENSG00000101084,ENSG00000077984,ENSG00000070614,ENSG00000105173,
ENSG00000023892,ENSG00000075618,ENSG00000059728,ENSG00000078081,ENSG00000102003,ENSG00000078269,ENSG00000070814,ENSG00000108671,
ENSG00000028277,ENSG00000077420,ENSG00000064225,ENSG00000079616,ENSG00000102007,ENSG00000078399,ENSG00000072518,ENSG00000109674,
ENSG00000035403,ENSG00000077458,ENSG00000065135,ENSG00000080845,ENSG00000102030,ENSG00000078401,ENSG00000072736,ENSG00000109805,
ENSG00000035664,ENSG00000082293,ENSG00000065413,ENSG00000085265,ENSG00000102265,ENSG00000078596,ENSG00000075568,ENSG00000111206,
ENSG00000038219,ENSG00000083454,ENSG00000065613,ENSG00000088826,ENSG00000103035,ENSG00000083720,ENSG00000077097,ENSG00000111247,
ENSG00000040531,ENSG00000083896,ENSG00000065615,ENSG00000088833,ENSG00000103275,ENSG00000086288,ENSG00000077232,ENSG00000111665,
ENSG00000042980,ENSG00000085185,ENSG00000066294,ENSG00000089060,ENSG00000103326,ENSG00000089012,ENSG00000078177,ENSG00000112029,
ENSG00000049249,ENSG00000086598,ENSG00000066468,ENSG00000089351,ENSG00000103653,ENSG00000089505,ENSG00000078618,ENSG00000112984,
ENSG00000049768,ENSG00000087116,ENSG00000066654,ENSG00000091164,ENSG00000103723,ENSG00000090339,ENSG00000079246,ENSG00000115163,
ENSG00000050165,ENSG00000087206,ENSG00000068024,ENSG00000092470,ENSG00000104112,ENSG00000096433,ENSG00000079308,ENSG00000117399,
ENSG00000050767,ENSG00000087299,ENSG00000068383,ENSG00000097046,ENSG00000104879,ENSG00000099860,ENSG00000079335,ENSG00000117650,
ENSG00000051128,ENSG00000090520,ENSG00000069974,ENSG00000099985,ENSG00000104885,ENSG00000099991,ENSG00000079805,ENSG00000119969,
ENSG00000054654,ENSG00000090554,ENSG00000073849,ENSG00000100031,ENSG00000104886,ENSG00000100079,ENSG00000079819,ENSG00000121152,
ENSG00000054967,ENSG00000091527,ENSG00000073910,ENSG00000100106,ENSG00000104903,ENSG00000100241,ENSG00000081760,ENSG00000121211,
ENSG00000055118,ENSG00000091972,ENSG00000075151,ENSG00000100147,ENSG00000105329,ENSG00000100346,ENSG00000083168,ENSG00000122952,
ENSG00000056736,ENSG00000092758,ENSG00000076513,ENSG00000100478,ENSG00000105669,ENSG00000100376,ENSG00000084676,ENSG00000122966,
ENSG00000057657,ENSG00000094804,ENSG00000077684,ENSG00000100982,ENSG00000105698,ENSG00000100385,ENSG00000087157,ENSG00000123219,
ENSG00000057704,ENSG00000094916,ENSG00000079387,ENSG00000101146,ENSG00000105723,ENSG00000100433,ENSG00000089234,ENSG00000123473,
ENSG00000064300,ENSG00000095787,ENSG00000082212,ENSG00000101150,ENSG00000105963,ENSG00000100453,ENSG00000090372,ENSG00000123485,
ENSG00000064666,ENSG00000099308,ENSG00000082898,ENSG00000101246,ENSG00000106244,ENSG00000101082,ENSG00000092201,ENSG00000125319,
ENSG00000065882,ENSG00000099953,ENSG00000083799,ENSG00000101294,ENSG00000106268,ENSG00000102245,ENSG00000092929,ENSG00000127564,
ENSG00000071051,ENSG00000100105,ENSG00000083828,ENSG00000101945,ENSG00000106355,ENSG00000104290,ENSG00000099204,ENSG00000129810,
ENSG00000071242,ENSG00000100353,ENSG00000084112,ENSG00000102974,ENSG00000107020,ENSG00000104856,ENSG00000099783,ENSG00000131153,
ENSG00000071967,ENSG00000100373,ENSG00000085831,ENSG00000103042,ENSG00000108424,ENSG00000104951,ENSG00000100150,ENSG00000131747,
ENSG00000072694,ENSG00000100519,ENSG00000087253,ENSG00000103061,ENSG00000108523,ENSG00000105246,ENSG00000100266,ENSG00000132780,
ENSG00000072864,ENSG00000100749,ENSG00000089057,ENSG00000103253,ENSG00000108961,ENSG00000105352,ENSG00000100280,ENSG00000134690,
ENSG00000072952,ENSG00000101193,ENSG00000090661,ENSG00000103671,ENSG00000111196,ENSG00000105509,ENSG00000100296,ENSG00000135900,
ENSG00000072954,ENSG00000101425,ENSG00000090863,ENSG00000104522,ENSG00000111669,ENSG00000105639,ENSG00000100304,ENSG00000137135,
ENSG00000073150,ENSG00000101842,ENSG00000091039,ENSG00000104689,ENSG00000112312,ENSG00000105671,ENSG00000100345,ENSG00000137310,
ENSG00000074370,ENSG00000102034,ENSG00000091181,ENSG00000104731,ENSG00000112667,ENSG00000106327,ENSG00000100503,ENSG00000137804,
ENSG00000074966,ENSG00000102471,ENSG00000091409,ENSG00000104872,ENSG00000112787,ENSG00000106952,ENSG00000100522,ENSG00000137825,
ENSG00000076662,ENSG00000102753,ENSG00000092531,ENSG00000104998,ENSG00000115596,ENSG00000107130,ENSG00000101191,ENSG00000138160,
ENSG00000077044,ENSG00000102882,ENSG00000092871,ENSG00000105053,ENSG00000115738,ENSG00000107742,ENSG00000101310,ENSG00000138180,
ENSG00000078589,ENSG00000102897,ENSG00000093000,ENSG00000105287,ENSG00000116161,ENSG00000107882,ENSG00000101367,ENSG00000138658,
ENSG00000078687,ENSG00000103126,ENSG00000096063,ENSG00000105472,ENSG00000116670,ENSG00000108700,ENSG00000101577,ENSG00000139618,
ENSG00000081059,ENSG00000103154,ENSG00000100122,ENSG00000105609,ENSG00000117713,ENSG00000109452,ENSG00000104812,ENSG00000139734,
ENSG00000081189,ENSG00000103187,ENSG00000100207,ENSG00000105750,ENSG00000118363,ENSG00000110080,ENSG00000105063,ENSG00000140534,
