geneName,module,gene_biotype,hgnc_symbol,module.char,mod.color
ENSG00000002587,1,protein_coding,HS3ST1,01,turquoise
ENSG00000005102,1,protein_coding,MEOX1,01,turquoise
ENSG00000005381,1,protein_coding,MPO,01,turquoise
ENSG00000005810,1,protein_coding,MYCBP2,01,turquoise
ENSG00000006451,1,protein_coding,RALA,01,turquoise
ENSG00000006459,1,protein_coding,KDM7A,01,turquoise
ENSG00000008118,1,protein_coding,CAMK1G,01,turquoise
ENSG00000010327,1,protein_coding,STAB1,01,turquoise
ENSG00000011132,1,protein_coding,APBA3,01,turquoise
ENSG00000014138,1,protein_coding,POLA2,01,turquoise
ENSG00000014257,1,protein_coding,ACPP,01,turquoise
ENSG00000019991,1,protein_coding,HGF,01,turquoise
ENSG00000023902,1,protein_coding,PLEKHO1,01,turquoise
ENSG00000028137,1,protein_coding,TNFRSF1B,01,turquoise
ENSG00000028277,1,protein_coding,POU2F2,01,turquoise
ENSG00000033867,1,protein_coding,SLC4A7,01,turquoise
ENSG00000038427,1,protein_coding,VCAN,01,turquoise
ENSG00000044574,1,protein_coding,HSPA5,01,turquoise
ENSG00000051128,1,protein_coding,HOMER3,01,turquoise
ENSG00000052795,1,protein_coding,FNIP2,01,turquoise
ENSG00000059728,1,protein_coding,MXD1,01,turquoise
ENSG00000064666,1,protein_coding,CNN2,01,turquoise
ENSG00000065802,1,protein_coding,ASB1,01,turquoise
ENSG00000065882,1,protein_coding,TBC1D1,01,turquoise
ENSG00000065911,1,protein_coding,MTHFD2,01,turquoise
ENSG00000066294,1,protein_coding,CD84,01,turquoise
ENSG00000068024,1,protein_coding,HDAC4,01,turquoise
ENSG00000068976,1,protein_coding,PYGM,01,turquoise
ENSG00000069399,1,protein_coding,BCL3,01,turquoise
ENSG00000070214,1,protein_coding,SLC44A1,01,turquoise
ENSG00000071967,1,protein_coding,CYBRD1,01,turquoise
ENSG00000072310,0,protein_coding,SREBF1,00,grey
ENSG00000072694,1,protein_coding,FCGR2B,01,turquoise
ENSG00000072952,1,protein_coding,MRVI1,01,turquoise
