geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
IP10,4.00261688458179,4.032283817871775,61.84034035682285,1.8249394201608057e-39,8.577215274755787e-38,80.22814690335902,(Intercept),up
CCL26,1.9917309518243154,2.0602327200528814,59.49200396706822,7.724965285147614e-39,1.8153668420096893e-37,78.77543787405907,(Intercept),up
CX3CL1,2.1487178161376406,2.1938265057838,58.38490604135186,1.5551674109566603e-38,2.436428943832101e-37,78.07024220731482,(Intercept),up
FGF2,1.9031682920786852,1.9381390884660217,55.06138548587587,1.3775254243730314e-37,1.618592373638312e-36,75.86900554643076,(Intercept),up
IL4,1.8429582944696024,1.8874570341337353,48.01487210928156,2.2235094700011355e-35,1.8078352007677427e-34,70.723992432223,(Intercept),up
VEGF,3.3040033426232145,3.1318174400822016,47.96663836909545,2.3078747243843525e-35,1.8078352007677427e-34,70.68623923710581,(Intercept),up
CCL2,3.3155036339591324,3.4770326472488153,42.302699386223644,2.4035935168108805e-33,1.6138413612873056e-32,65.97018825209203,(Intercept),up
IL8,2.702932591110447,2.7495386503924317,40.247068152045465,1.5067456045803624e-32,8.852130426909628e-32,64.10383952822295,(Intercept),up
CCL4,1.7532785758037839,1.7986432482051409,39.644916301276275,2.623859040799689e-32,1.370237499084282e-31,63.53955228101937,(Intercept),up
IL15,2.0344952294297824,1.9916903540416095,38.71464790435728,6.281463224076557e-32,2.952287715315982e-31,62.651240419821136,(Intercept),up
CCL22,2.697742286003327,3.095660974232819,37.14832322781174,2.8604456464387097e-31,1.2221904125692668e-30,61.107910624487104,(Intercept),up
KITLG,1.8943252581310557,1.927663588360236,35.40078560498391,1.670253353127997e-30,6.541825633084654e-30,59.31043577319976,(Intercept),up
CCL3,1.2750964899900594,1.367776693816985,35.258294542176436,1.93568952720336e-30,6.998262136812147e-30,59.1601516018453,(Intercept),up
IL1RA,2.5322702162032718,2.8736086981297624,34.14768258173258,6.2317021748168925e-30,2.092071444402814e-29,57.96856380761048,(Intercept),up
RANTES,2.303209114958858,2.2593121893735195,33.43621710239792,1.3430923449637006e-29,4.2083560142195954e-29,57.18572088427784,(Intercept),up
PDGFAB,1.8867968162085214,2.060602090418896,31.93929727524995,7.11257719722574e-29,2.0000548725044215e-28,55.485866926308944,(Intercept),up
CCL11,1.4552971482424764,1.516210676870856,31.924392360752925,7.234241028207482e-29,2.0000548725044215e-28,55.46856707071544,(Intercept),up
GCSF,2.6581447683855015,2.8229738548629886,30.94518718687768,2.241074830382965e-28,5.851695390444409e-28,54.31509389680154,(Intercept),up
IL7,1.413301629420273,1.4443356900010549,30.69102769550011,3.021830864500604e-28,7.475055296396231e-28,54.0101215512706,(Intercept),up
IL20,1.679603547306105,1.7515145574128488,28.96578066887662,2.4468998124666396e-27,5.750214559296603e-27,51.875618141971316,(Intercept),up
