geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
IP10,3.995685952416883,4.032283817871775,70.03827483942294,1.7061881982884085e-39,8.01908453195552e-38,80.37191125492268,(Intercept),up
CX3CL1,2.164335113681482,2.1938265057838,61.22048963191154,1.903814508262277e-37,4.473964094416351e-36,75.63249296949894,(Intercept),up
CCL26,2.041100352299543,2.0602327200528814,58.89445007137018,7.382155963194899e-37,9.240304001146854e-36,74.26539272808533,(Intercept),up
FGF2,1.9199962896858933,1.9381390884660217,58.78804865721103,7.864088511614344e-37,9.240304001146854e-36,74.20155011785378,(Intercept),up
IL4,1.8616169401872324,1.8874570341337353,50.574277055246675,1.5054772382388677e-34,1.4151486039445356e-33,68.88415275765603,(Intercept),up
IL8,2.6551399931271793,2.7495386503924317,48.923090049798276,4.784826366019801e-34,3.748113986715511e-33,67.71097157329366,(Intercept),up
CCL4,1.7584138652272225,1.7986432482051409,46.24501296666746,3.392197267016829e-33,2.277618164997014e-32,65.72173048027696,(Intercept),up
CCL2,3.403489399056881,3.4770326472488153,41.26231194589997,1.771058063546135e-31,1.0404966123333543e-30,61.69760009434821,(Intercept),up
KITLG,1.8733597768285724,1.927663588360236,39.79630216294936,6.191089231749193e-31,3.2331243765801346e-30,60.42259138002988,(Intercept),up
VEGF,3.1480042221346647,3.1318174400822016,38.80005192081278,1.4865896995644503e-30,6.986971587952916e-30,59.529779182278496,(Intercept),up
IL15,1.9714928828043996,1.9916903540416095,38.34546723506564,2.233001293436603e-30,9.541005526501848e-30,59.114977144433986,(Intercept),up
IL7,1.3813109794367733,1.4443356900010549,37.1956253499259,6.381344725681343e-30,2.499360017558526e-29,58.044140425688305,(Intercept),up
RANTES,2.272173017473399,2.2593121893735195,36.32955733231503,1.436610782251413e-29,5.193900520447416e-29,57.21627610234648,(Intercept),up
IL16,2.4118936276036678,2.534375392526855,34.04656336124098,1.3365433725394047e-28,4.486967036382288e-28,54.939695465790614,(Intercept),up
CCL11,1.4858496171652167,1.516210676870856,33.53531397731145,2.245380779874062e-28,7.035526443605394e-28,54.40993040552902,(Intercept),up
CCL3,1.345271538504314,1.367776693816985,32.035732952551655,1.074667086290275e-27,3.0307959387819947e-27,52.8106056526504,(Intercept),up
IL20,1.6945775594380637,1.7515145574128488,32.017103144477545,1.096245339559445e-27,3.0307959387819947e-27,52.790294541154225,(Intercept),up
CCL21,1.6193053201474008,1.7012196857083117,31.575435926598097,1.7619021083627944e-27,4.6005221718361855e-27,52.305473113021066,(Intercept),up
TNFSF10,1.9846344576508639,2.0404832280293856,31.347831846979116,2.25543831339441e-27,5.579242143659856e-27,52.05312977585305,(Intercept),up
GCSF,2.736862225087684,2.8229738548629886,31.058538375008357,3.0945792549468067e-27,7.272261249124996e-27,51.729892337582356,(Intercept),up
PDGFAB,1.9760038738539178,2.060602090418896,28.734692632639398,4.357922313525409e-26,9.753445177890201e-26,49.026126457029356,(Intercept),up
IL12B,1.4560496706335837,1.5239153016529694,28.516152539659416,5.645179449821086e-26,1.2060156097345046e-25,48.76148505508014,(Intercept),up
TNFA,1.713617201797863,1.8344103600464066,28.300644707680117,7.299522476635923e-26,1.491641549573428e-25,48.498671502851316,(Intercept),up
IFNA2,1.4518605054701192,1.492545874884522,25.598073787297015,2.153293419196401e-24,4.216866279259618e-24,45.03684602405481,(Intercept),up
CCL7,1.7836230730430507,1.9308839240467635,24.97840128949132,4.896087406262906e-24,9.204644323774262e-24,44.196370603684585,(Intercept),up
GMCSF,1.7454791992223007,1.8256878560964485,24.79990494590964,6.224182885599303e-24,1.125140752396797e-23,43.95078841258394,(Intercept),up
IL1B,0.7807362510351954,0.8632171894249133,24.71111375678613,7.01749802582911e-24,1.2215644711628451e-23,43.82803427336055,(Intercept),up
TGFA,1.3103080450394993,1.3495686421733328,23.93823434211814,2.027090293283394e-23,3.4026158494399824e-23,42.742527941763846,(Intercept),up
IL1RA,2.744690325829087,2.8736086981297624,23.722176251094414,2.741717661631706e-23,4.443473451610006e-23,42.4334875560565,(Intercept),up
IL12p70,0.994520838268446,1.0547219678635775,22.460085945231555,1.6821591518330155e-22,2.6353826712050573e-22,40.57688064623945,(Intercept),up
CCL22,2.993029374065337,3.095660974232819,22.286952161017453,2.1724698126674613e-22,3.293744554689377e-22,40.31508259334416,(Intercept),up
CCL13,1.3360741091534676,1.4205978474780792,21.49630885928837,7.144618306720283e-22,1.0493658137995415e-21,39.09657525407011,(Intercept),up
IL2,0.8577124927304213,0.9279849932931216,19.483545002448036,1.7689094313630652e-20,2.5193558567898203e-20,35.81179763476167,(Intercept),up
IL6,1.6638615824282739,1.9093168147259498,17.637011976785903,4.3283411178322166e-19,5.983295074650417e-19,32.53937693328319,(Intercept),up
IL17A,0.8753850934762976,0.9391871662900269,17.217874842633343,9.28619679879495e-19,1.2470035701238931e-18,31.758233988987364,(Intercept),up
CCL8,0.9219800498193247,1.0385323509824094,16.882093637982805,1.7301275195397016e-18,2.2587775949546102e-18,31.12151841892213,(Intercept),up
sCD40L,1.0125965798123149,1.1092933180914544,16.823264640055235,1.9313435760811552e-18,2.453328326373359e-18,31.00894466033153,(Intercept),up
IFNG,0.8850171873958959,0.9952446755597851,16.68102411581623,2.5230867739355336e-18,3.120659957236055e-18,30.735481735834178,(Intercept),up
TARC,1.980934148473379,2.0905865086988666,14.458675733383602,2.0979930213819033e-16,2.528350564229473e-16,26.213919713972757,(Intercept),up
TNFB,0.9044698469120837,0.9793498725403033,13.176615400390048,3.3810939011178873e-15,3.972785333813517e-15,23.372800317910375,(Intercept),up
IL10,1.0978434725406399,1.1986737046435523,11.51107014397723,1.6603166926424116e-13,1.9032898671754473e-13,19.397082095077636,(Intercept),up
CXCL13,0.8515709970040679,0.9389953646147358,9.493479747729028,2.961311186291883e-11,3.313848232279012e-11,14.115754609647437,(Intercept),up
IL13,1.0378227152492496,1.0937577063440813,9.423641200504187,3.577081315330211e-11,3.9098330655934856e-11,13.923612594059827,(Intercept),up
