geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
CXCL1,4.219154328180751,4.189173063818908,67.36223306068904,3.1218935620613827e-40,1.7170414591337604e-38,82.02014807783004,(Intercept),up
IP10,3.970326879517333,4.032283817871775,57.268957700175804,1.17957052969627e-37,3.243818956664742e-36,76.09494872210725,(Intercept),up
CCL15,2.8935210272078886,2.9188154658163152,50.42401726866322,1.2205083901823903e-35,2.158138609939782e-34,71.43099851900935,(Intercept),up
CX3CL1,2.1536407077833015,2.1938265057838,50.07662768091887,1.5695553526834778e-35,2.158138609939782e-34,71.17747947160197,(Intercept),up
FGF2,1.9099877905687814,1.9381390884660217,47.964663274887606,7.518795578981561e-35,8.270675136879718e-34,69.59709392195487,(Intercept),up
CCL26,2.0005646131882817,2.0602327200528814,46.18720141000776,2.9624721605635742e-34,2.7155994805166094e-33,68.21203338091084,(Intercept),up
IL4,1.8449100035791004,1.8874570341337353,41.64274892132547,1.2619806062358756e-32,9.915561906139022e-32,64.41468171173854,(Intercept),up
VEGF,3.3416131524611608,3.1318174400822016,39.85539945606649,6.154562900396396e-32,4.231261994022522e-31,62.80799651052997,(Intercept),up
IL8,2.637793108294567,2.7495386503924317,38.75467401951188,1.6897520894835996e-31,1.0326262769066442e-30,61.78308279614104,(Intercept),up
CCL2,3.2603042835884875,3.4770326472488153,36.98196842175654,9.116227403320013e-31,5.013925071826007e-30,60.07139016658312,(Intercept),up
IL15,2.0522259252740334,1.9916903540416095,35.714868487395066,3.1895909859334856e-30,1.5947954929667428e-29,58.7985253334076,(Intercept),up
CCL4,1.744687022382509,1.7986432482051409,35.267125357333946,5.015436533382425e-30,2.133534252522251e-29,58.33832149491575,(Intercept),up
CXCL5,2.385851314098649,2.422933363645294,35.26175611060636,5.042899142325321e-30,2.133534252522251e-29,58.3327688266428,(Intercept),up
FLT3L,1.7681313344464218,1.766596094134404,35.09704890528258,5.964800139226357e-30,2.3433143404103543e-29,58.162039404498124,(Intercept),up
IL23,2.0511143293475467,2.084949930769684,34.87196218475252,7.512165291532589e-30,2.754460606895282e-29,57.92747542968491,(Intercept),up
PDGFAA,2.261329595343875,2.262584200686976,33.74982612592095,2.4233189439847286e-29,8.330158869947505e-29,56.736027406734,(Intercept),up
KITLG,1.8466485938329391,1.927663588360236,33.59214862002327,2.8651900085310555e-29,9.26973238054165e-29,56.56558682917123,(Intercept),up
RANTES,2.3235739443065913,2.2593121893735195,30.961727099056002,5.251071024134692e-28,1.6044939240411558e-27,53.60433575324521,(Intercept),up
GCSF,2.5892949585634963,2.8229738548629886,27.699746979748575,2.7073905240967934e-26,7.837183096069665e-26,49.58544860745475,(Intercept),up
IL7,1.4075437353775397,1.4443356900010549,27.654933236967302,2.866403663903027e-26,7.882610075733325e-26,49.52724139575648,(Intercept),up
CCL11,1.4539104755338246,1.516210676870856,27.433827813967163,3.8033670258562033e-26,9.961199353432914e-26,49.23877979251941,(Intercept),up
CCL3,1.2731317625376184,1.367776693816985,26.457202281574396,1.3604849122491617e-25,3.401212280622904e-25,47.93862151516414,(Intercept),up
IL20,1.6640289756817017,1.7515145574128488,25.503495297857636,4.924033680419664e-25,1.177486314882963e-24,46.62612379148421,(Intercept),up
TNFSF10,1.98195493770988,2.0404832280293856,25.32228233766831,6.318004731448147e-25,1.4478760842902003e-24,46.37173113113722,(Intercept),up
